Name,Rating,Votes,Duration,Genre,Duration_Minutes
Kraven the Hunter,5.5,54000,2h 7m,Action,127
Sonic the Hedgehog 3,6.9,58000,1h 50m,Action,110
Gladiator II,6.5,227000,2h 28m,Action,148
Twisters,6.5,166000,2h 2m,Action,122
Freaky Tales,7.2,1100,1h 47m,Action,107
Deadpool & Wolverine,7.6,490000,2h 8m,Action,128
The Crow,4.7,34000,1h 51m,Action,111
Dune: Part Two,8.5,623000,2h 46m,Action,166
The Ministry of Ungentlemanly Warfare,6.8,134000,2h 2m,Action,122
Venom: The Last Dance,6.0,116000,1h 50m,Action,110
Pushpa: The Rule - Part 2,6.1,56000,3h 21m,Action,201
Civil War,7.0,236000,1h 49m,Action,109
Furiosa: A Mad Max Saga,7.5,284000,2h 28m,Action,148
Carry-On,6.5,164000,1h 59m,Action,119
The Beekeeper,6.3,156000,1h 45m,Action,105
Fight or Flight,6.4,6500,1h 37m,Action,97
Borderlands,4.7,48000,1h 41m,Action,101
The Count of Monte-Cristo,7.6,34000,2h 58m,Action,178
The Fall Guy,6.8,220000,2h 6m,Action,126
Transformers One,7.6,50000,1h 44m,Action,104
Road House,6.2,167000,2h 1m,Action,121
Solo Leveling: ReAwakening,8.7,12000,2h 1m,Action,121
The Lord of the Rings: The War of the Rohirrim,6.3,30000,2h 14m,Action,134
Rebel Ridge,6.8,88000,2h 11m,Action,131
Elevation,5.6,22000,1h 31m,Action,91
Love Lies Bleeding,6.6,57000,1h 44m,Action,104
Classified,3.7,2500,1h 45m,Action,105
William Tell,5.7,2400,2h 13m,Action,133
Madame Web,4.0,101000,1h 56m,Action,116
Bad Boys: Ride or Die,6.5,100000,1h 55m,Action,115
Argylle,5.6,92000,2h 19m,Action,139
Red One,6.3,139000,2h 3m,Action,123
Godzilla x Kong: The New Empire,6.0,121000,1h 55m,Action,115
Damsel,6.1,109000,1h 50m,Action,110
Kingdom of the Planet of the Apes,6.9,151000,2h 25m,Action,145
Hellboy: The Crooked Man,4.5,13000,1h 39m,Action,99
