Name,Rating,Votes,Duration,Genre
Twisters,6.5, 168K,2h 2m,Action
Gladiator II,6.5, 229K,2h 28m,Action
Sonic the Hedgehog 3,6.9, 59K,1h 50m,Action
Kraven the Hunter,5.5, 55K,2h 7m,Action
Deadpool & Wolverine,7.6, 491K,2h 8m,Action
Civil War,7.0, 237K,1h 49m,Action
Dune: Part Two,8.5, 624K,2h 46m,Action
The Ministry of Ungentlemanly Warfare,6.8, 135K,2h 2m,Action
Venom: The Last Dance,6.0, 117K,1h 50m,Action
The Beekeeper,6.3, 156K,1h 45m,Action
The Count of Monte-Cristo,7.6, 34K,2h 58m,Action
Freaky Tales,7.2, 1.2K,1h 47m,Action
Furiosa: A Mad Max Saga,7.5, 285K,2h 28m,Action
Transformers One,7.6, 50K,1h 44m,Action
Carry-On,6.5, 165K,1h 59m,Action
Borderlands,4.7, 48K,1h 41m,Action
Fight or Flight,6.4, 6.9K,1h 37m,Action
The Fall Guy,6.8, 220K,2h 6m,Action
The Crow,4.7, 35K,1h 51m,Action
Road House,6.2, 168K,2h 1m,Action
Rebel Ridge,6.8, 88K,2h 11m,Action
Pushpa: The Rule - Part 2,6.1, 56K,3h 21m,Action
Madame Web,4.0, 101K,1h 56m,Action
The Lord of the Rings: The War of the Rohirrim,6.3, 30K,2h 14m,Action
Elevation,5.6, 22K,1h 31m,Action
Absolution,5.2, 8.1K,1h 52m,Action
Bad Boys: Ride or Die,6.5, 100K,1h 55m,Action
Red One,6.3, 140K,2h 3m,Action
Solo Leveling: ReAwakening,8.7, 12K,2h 1m,Action
Love Lies Bleeding,6.6, 57K,1h 44m,Action
Argylle,5.6, 92K,2h 19m,Action
Damsel,6.1, 109K,1h 50m,Action
William Tell,5.7, 2.5K,2h 13m,Action
The Union,5.4, 53K,1h 47m,Action
Godzilla x Kong: The New Empire,6.0, 121K,1h 55m,Action
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,Action
Land of Bad,6.6, 51K,1h 53m,Action
Hellboy: The Crooked Man,4.5, 13K,1h 39m,Action
Kung Fu Panda 4,6.3, 68K,1h 34m,Action
Werewolves,4.4, 6.6K,1h 33m,Action
Homestead,5.3, 3.6K,1h 52m,Action
Survive,4.5, 2.5K,1h 30m,Action
Monkey Man,6.8, 91K,2h 1m,Action
Aftermath,5.1, 4K,1h 37m,Action
The Killer's Game,5.8, 17K,1h 44m,Action
The Instigators,6.2, 38K,1h 41m,Action
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,Action
Lift,5.5, 49K,1h 47m,Action
Gunner,3.2, 2.7K,1h 46m,Action
Classified,3.7, 2.5K,1h 45m,Action
Blitz,6.2, 16K,2h,Action
Uglies,4.7, 33K,1h 40m,Action
Maharaja,8.4, 67K,2h 21m,Action
The Killer,5.7, 13K,2h 6m,Action
Old Guy,5.2, 2.4K,1h 34m,Action
Drive-Away Dolls,5.4, 23K,1h 24m,Action
Attack on Titan the Movie: The Last Attack,9.2, 16K,2h 25m,Action
Thelma,7.0, 22K,1h 38m,Action
Atlas,5.6, 56K,1h 58m,Action
Azrael,5.4, 11K,1h 26m,Action
Descendants: The Rise of Red,4.7, 7K,1h 31m,Action
Arcadian,5.5, 23K,1h 32m,Action
Toofan,7.4, 8.1K,2h 25m,Action
Watchmen: Chapter I,7.0, 6.6K,1h 23m,Action
Marco,6.8, 21K,2h 25m,Action
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,Action
Dirty Angels,4.3, 3.4K,1h 44m,Action
Canary Black,5.3, 11K,1h 41m,Action
Cash Out,4.8, 3K,1h 32m,Action
Trigger Warning,4.6, 19K,1h 46m,Action
Under Paris,5.2, 36K,1h 44m,Action
Kalki 2898 AD,7.0, 67K,3h,Action
Armor,3.6, 4K,1h 29m,Action
Long Gone Heroes,5.2, 1.1K,1h 41m,Action
Trouble,6.2, 6.8K,1h 38m,Action
Rebel Moon - Part Two: The Scargiver,5.3, 59K,2h 2m,Action
Jackpot!,5.8, 30K,1h 46m,Action
11 Rebels,6.3, 413,2h 35m,Action
Twilight of the Warriors: Walled In,7.0, 9.5K,2h 6m,Action
Brothers,5.4, 13K,1h 29m,Action
Amaran,8.1, 18K,2h 47m,Action
The Shadow Strays,6.5, 9.2K,2h 24m,Action
Duchess,4.6, 1.4K,1h 54m,Action
The Silent Hour,6.1, 7.4K,1h 39m,Action
The Fix,4.6, 1.2K,1h 38m,Action
Red Right Hand,5.5, 5.9K,1h 51m,Action
