Name,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6, 63K,1h 58m,Animation
Moana 2,6.6, 102K,1h 40m,Animation
Flow,7.9, 74K,1h 25m,Animation
Paddington in Peru,6.7, 21K,1h 46m,Animation
The Wild Robot,8.2, 162K,1h 42m,Animation
Transformers One,7.6, 50K,1h 44m,Animation
Despicable Me 4,6.2, 65K,1h 34m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 4.1K,1h 31m,Animation
Inside Out 2,7.5, 216K,1h 36m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3, 30K,2h 14m,Animation
IF,6.4, 58K,1h 44m,Animation
Solo Leveling: ReAwakening,8.7, 12K,2h 1m,Animation
Kung Fu Panda 4,6.3, 68K,1h 34m,Animation
Memoir of a Snail,7.8, 17K,1h 35m,Animation
The Garfield Movie,5.7, 24K,1h 41m,Animation
Harold and the Purple Crayon,5.7, 8.3K,1h 30m,Animation
Attack on Titan the Movie: The Last Attack,9.2, 16K,2h 25m,Animation
Watchmen: Chapter I,7.0, 6.6K,1h 23m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,Animation
Spellbound,5.5, 7.4K,1h 49m,Animation
Night of the Zoopocalypse,6.0, 646,1h 31m,Animation
Spermageddon,5.8, 807,1h 20m,Animation
Look Back,7.8, 15K,58m,Animation
Hitpig,5.1, 940,1h 26m,Animation
Piece by Piece,6.9, 5.4K,1h 33m,Animation
Watchmen: Chapter II,7.0, 3.1K,1h 30m,Animation
Thelma the Unicorn,5.7, 2.9K,1h 33m,Animation
Buffalo Kids,6.6, 691,1h 33m,Animation
The Most Precious of Cargoes,7.1, 973,1h 21m,Animation
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Animation
Orion and the Dark,6.3, 17K,1h 33m,Animation
The Remarkable Life of Ibelin,8.2, 12K,1h 43m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.5K,1h 33m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Animation
My Hero Academia: You're Next,7.0, 2.1K,1h 50m,Animation
That Christmas,6.8, 17K,1h 31m,Animation
Ultraman: Rising,6.9, 6.4K,1h 57m,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Animation
The Glassworker,7.3, 1.7K,1h 38m,Animation
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Animation
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Animation
Grand Theft Hamlet,6.9, 1.9K,1h 29m,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Animation
10 Lives,5.9, 1.9K,1h 28m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Animation
Dragonkeeper,5.7, 1.7K,1h 38m,Animation
Limonov: The Ballad of Eddie,6.0, 795,2h 18m,Animation
The Colors Within,7.1, 967,1h 41m,Animation
Mars,7.9, 23,1h 24m,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Animation
200% Wolf,5.9, 1.3K,1h 38m,Animation
Johnny Puff: Secret Mission,4.8, 452,1h 27m,Animation
Bloody Escape: Bats out of Hell,5.6, 47,1h 40m,Animation
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Animation
Overlord: The Sacred Kingdom,6.9, 979,2h 15m,Animation
Haikyu!! The Dumpster Battle,7.7, 6.2K,1h 25m,Animation
Panda Bear in Africa,5.5, 347,1h 24m,Animation
Crayon Shin-chan: Ora's Dinosaur Diary,6.4, 353,1h 46m,Animation
Blue Lock: Episode Nagi,6.6, 2.5K,1h 31m,Animation
Super-Charlie,5.8, 121,1h 20m,Animation
A Sloth Story,5.6, 206,1h 30m,Animation
Lesbian Space Princess,7.2, 137,1h 27m,Animation
Rebellious,6.0, 195,1h 34m,Animation
Ryan's World the Movie: Titan Universe Adventure,1.8, 693,1h 20m,Animation
The Night Before Christmas in Wonderland,6.3, 516,1h 20m,Animation
Given 3: To the Sea,8.8, 61,1h 20m,Animation
Elli and the Ghostly Ghost Train,5.1, 99,1h 26m,Animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8, 1.2K,1h 30m,Animation
Frida,7.5, 1.5K,1h 27m,Animation
Sanatorium Under the Sign of the Hourglass,5.4, 117,1h 15m,Animation
Noah's Ark,4.3, 660,1h 36m,Animation
Savages,6.8, 340,1h 27m,Animation
Dongeng Sang Kancil,6.7, 173,1h 39m,Animation
Gracie and Pedro: Pets to the Rescue,5.1, 275,1h 27m,Animation
The Quintessential Quintuplets Specials 2,7.0, 129,46m,Animation
Mononoke the Movie: The Phantom in the Rain,6.8, 1.2K,1h 29m,Animation
Big City Greens the Movie: Spacecation,6.2, 542,1h 23m,Animation
White Snake: Afloat,6.9, 475,2h 13m,Animation
Living Large,7.0, 122,1h 20m,Animation
No Time to Spy: A Loud House Movie,6.4, 449,1h 21m,Animation
Movie Given Hiiragi Mix.,7.5, 174,1h 10m,Animation
Kvitebjørn,5.9, 62,1h 25m,Animation
Dalia y el Libro Rojo,6.5, 91,1h 47m,Animation
Bocchi the Rock! Recap Part 1,7.6, 163,1h 30m,Animation
Fureru,6.2, 35,1h 47m,Animation
Detective Conan: The Million-Dollar Pentagram,6.7, 1.5K,1h 51m,Animation
"Die Heinzels: Neue Mützen, Neue Mission",6.4, 91,1h 16m,Animation
My Freaky Family,6.3, 406,1h 26m,Animation
Ghost Cat Anzu,6.5, 768,1h 37m,Animation
Out of the Nest,6.5, 111,1h 24m,Animation
From Ground Zero,7.9, 535,1h 52m,Animation
My Oni Girl,6.0, 1.7K,1h 52m,Animation
"Maya, donne-moi un titre",6.4, 53,1h 1m,Animation
Rafadan Tayfa: Kapadokya,6.6, 119,1h 24m,Animation
SuperKlaus,4.3, 203,1h 28m,Animation
Heartsping : Teenieping of Love,7.1, 24,TV-Y,Animation
Mobile Suit Gundam SEED Freedom,6.6, 952,2h 4m,Animation
Diplodocus,6.3, 177,1h 30m,Animation
Baki Hanma VS Kengan Ashura,5.7, 1.9K,1h 2m,Animation
Hola Frida,7.1, 30,1h 22m,Animation
Kizumonogatari: Koyomi Vamp,7.0, 89,2h 24m,Animation
Si Juki the Movie: Harta Pulau Monyet,6.0, 118,1h 47m,Animation
Storm Crashers,6.2, 563,1h 28m,Animation
Boys Go to Jupiter,6.9, 96,1h 30m,Animation
The Casagrandes Movie,5.6, 667,1h 29m,Animation
Sabbath Queen,8.0, 64,1h 45m,Animation
STEVE (A Minecraft Movie),6.9, 12,1h 1m,Animation
Fox & Hare Save the Forest,5.9, 202,1h 11m,Animation
The Proud Princess,6.7, 113,1h 24m,Animation
Abá e Sua Banda,7.0, 9,1h 24m,Animation
Angelo dans la forêt mystérieuse,6.0, 125,1h 21m,Animation
Shrek 5: The Contract - A Fan Made Film,7.0, 19,1h 24m,Animation
Jon Vardar protiv Galaksijata,8.1, 75,1h 26m,Animation
The Lost Tiger,7.9, 45,1h 30m,Animation
Bocchi the Rock! Re: Re:,7.9, 103,1h 17m,Animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.0, 20,1h 30m,Animation
(S)KiDS,9.7, 99,1h 25m,Animation
TWST: Things We Said Today,7.0, 46,1h 26m,Animation
Peppa's Cinema Party,5.0, 155,1h 5m,Animation
God with Three Eyes,6.1, 14,1h 52m,Animation
Olivia & the Clouds,7.2, 50,1h 21m,Animation
I Am What I Am 2,7.5, 204,2h 14m,Animation
The Big Trip 3: Race Around the World,5.6, 59,1h 25m,Animation
Zak & Wowo: The Legend of Lendarys,5.7, 96,1h 25m,Animation
Transformers Prime: Galavatron's Revenge,3.7, 9,1h 44m,Animation
Niko: Beyond the Northern Lights,6.2, 333,1h 26m,Animation
Tobias and the Arcane Merchant,9.0, 43,2h 47m,Animation
Schirkoa: In Lies We Trust,5.6, 158,1h 43m,Animation
Luntik. Vozvrashchenie domoy,6.4, 75,TV-Y,Animation
Dragon Ball Z Kai,8.5, 71,1h 22m,Animation
Trapezium,6.3, 151,1h 42m,Animation
Little Emma,5.9, 114,1h 46m,Animation
Dead Dead Demon's Dededede Destruction,7.0, 145,2h,Animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.3, 120,1h 48m,Animation
Askepote,3.5, 83,1h 12m,Animation
Captain Avispa,5.8, 177,1h 36m,Animation
Yumi's Cells: The Movie,6.2, 49,1h 33m,Animation
Mariposas Negras,7.2, 51,1h 23m,Animation
Woolina and the No Birds,8.2, 47,1h 20m,Animation
The Storm,6.0, 139,1h 42m,Animation
Fuuto PI: Portrait of Kamen Rider Skull,7.5, 42,1h 22m,Animation
Exorcism Chronicles: The Beginning,7.2, 97,1h 25m,Animation
Mustafa,6.9, 72,1h 15m,Animation
Boonie Bears: Time Twist,6.0, 167,1h 45m,Animation
Rock Bottom,6.9, 43,1h 26m,Animation
The Umbrella Fairy,5.5, 54,1h 35m,Animation
Il segreto di Liberato,7.3, 217,1h 30m,Animation
Tri kota. Zimnie kanikuly,6.5, 30,1h 5m,Animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0, 35,1h 11m,Animation
Masha i Medved v kino: Park chudes,7.6, 17,58m,Animation
Slocum et moi,7.3, 73,1h 15m,Animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, 72,1h 10m,Animation
Quo Vadis,6.6, 508,1h 30m,Animation
The Formula for Water,4.5, 31,1h 26m,Animation
The Worlds Divide,8.1, 39,2h,Animation
Benjamin Bat,8.0, 29,1h 15m,Animation
Transformers: 40th Anniversary Event,7.3, 29,1h 36m,Animation
"Robotia, the Movie",7.7, 29,1h 26m,Animation
Bob a Bobek ve filmu: Na stope Mrkvojeda,7.5, 26,1h 20m,Animation
Bartali's Bicycle,7.8, 5,1h 20m,Animation
Norbert,6.6, 12,1h 15m,Animation
Motu Patlu & The Race to the Diamond Valley,7.8, 27,1h 12m,Animation
Tri bogatyrya. Ni dnya bez podviga,5.7, 67,1h 1m,Animation
Tay 2: Ebabil Takimi,5.2, 38,1h 18m,Animation
Double Tuckerr,4.9, 1.2K,2h,Animation
Inanimate Insanity II: The Movie,8.4, 231,1h 46m,Animation
Rocky and Bullwinkle,9.2, 13,1h 40m,Animation
PAPmusic - Animation for Fashion,1.0, 136,1h 25m,Animation
A Few Moments of Cheers,7.1, 39,1h 8m,Animation
Uma & Haggen: Mitos,7.5, 46,1h 34m,Animation
Dead Dead Demon's Dededede Destruction Zenpen,7.1, 140,2h,Animation
Dikkie Dik en de Verdwenen Knuffel,7.3, 130,1h 2m,Animation
Lilla spöket Laban spökar igen,6.2, 27,44m,Animation
Kuramerukagari,5.8, 81,1h 1m,Animation
Rocket Club: Across the Cosmos,8.4, 19,1h 8m,Animation
Code Geass: Rozé of the Recapture - Part 1,7.6, 42,1h 14m,Animation
"Silex and the City, le film",4.9, 50,1h 17m,Animation
Riki Rhino: The Bird Kingdom,5.1, 24,1h 49m,Animation
Appu,8.6, 181,1h 32m,Animation
Nature Cat's Nature Movie Special Extraordinaire,7.3, 19,53m,Animation
Le parfum d'Irak,8.1, 42,1h 35m,Animation
Motu Patlu & The Rise of Zombies,6.6, 15,1h 14m,Animation
Meitantei Conan Bâsasu Kaitô Kiddo,6.1, 162,1h 21m,Animation
Nothing Unusual,9.7, 12,1h 32m,Animation
Mobile Suit Gundam: Silver Phantom,6.1, 13,1h 30m,Animation
Maxxie LaWow: Drag Super-shero,8.7, 58,1h 54m,Animation
The Greatest Surf Movie in the Universe,5.4, 8,1h 21m,Animation
Pui Pui Molcar the Movie: Molmax,7.0, 9,1h 9m,Animation
Young doctor's notes,2.4, 5,1h 26m,Animation
Nie Xiaoqian,6.2, 17,1h 52m,Animation
Gujeyeog-eseo sal-a dol-aon dwaeji,5.1, 10,1h 45m,Animation
Into the Mortal World,6.8, 154,1h 58m,Animation
Luv You Shankar,5.8, 44,2h,Animation
Animal Tales of Christmas Magic,6.8, 50,1h 12m,Animation
Ya Boy Kongming! Road to Summer Sonia,7.4, 40,1h 59m,Animation
Steal the Naughty List,6.4, 119,1h 30m,Animation
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, 9,50m,Animation
Hello My Beautiful Creatures,6.8, 170,2h 22m,Animation
Ugly Sweater,7.1, 13,1h 20m,Animation
Zuzubalândia: O Filme,5.6, 10,1h,Animation
The Delegator,4.2, 17,1h 36m,Animation
Sunburnt Unicorn,7.7, 13,1h 21m,Animation
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.3, 13,59m,Animation
Bizarros Peixes das Fossas Abissais,8.1, 13,1h 15m,Animation
Arne Alligator och djungelkompisarna,4.6, 48,1h 1m,Animation
Code Geass: Rozé of the Recapture: Part 2,7.8, 28,1h 16m,Animation
Day of the Diesels,7.7, 10,1h 40m,Animation
Max Beyond,6.6, 17,1h 33m,Animation
The Ballad of Straw Hat Sam,9.2, 10,45m,Animation
LUDA,7.2, 6,1h 26m,Animation
Pleasant Goat and Big Big Wolf: The World Guardians,7.2, 13,1h 36m,Animation
Gintama the Movie 2D: Courtesan of the Nation Arc,7.8, 6,1h 49m,Animation
Astra,6.8, 8,1h 20m,Animation
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,7.7, 12,1h 18m,Animation
Code Geass: Rozé of the Recapture: Part 3,7.4, 25,1h 16m,Animation
Velký Pán,7.0, 8,1h 13m,Animation
Terra Incognita 1901,9.2, 14,1h 18m,Animation
"Hey, Tete",6.4, 9,2h 31m,Animation
Ninja Doomscrolling,8.1, 102,1h 36m,Animation
Ekip: Siberay - Günes Firtinasi,6.0, 14,1h 12m,Animation
Isle: Alpha One,8.4, 7,1h 37m,Animation
Skazochnyy patrul. Shou prodolzhayetsya,7.2, 11,1h 5m,Animation
The Car Acrobatic Team Saga,7.2, 11,1h 52m,Animation
Turbozavry. God drakona,9.2, 43,48m,Animation
2475 Dawn of Revolution,6.3, 152,2h 7m,Animation
Let's Go! Anpanman: Baikinman and Lulun,6.5, 7,1h 4m,Animation
Code Geass: Rozé of the Recapture: Part 4,6.6, 15,1h 10m,Animation
Bie ba zuo wen dang hui shi er,7.2, 11,1h 29m,Animation
Sirds likums,6.8, 17,1h 5m,Animation
