Name,Rating,Votes,Duration,Genre
A Complete Unknown,7.4, 75K,2h 21m,Biography
I'm Still Here,8.3, 105K,2h 17m,Biography
The Apprentice,7.1, 55K,2h 2m,Biography
Queer,6.4, 21K,2h 17m,Biography
Better Man,7.6, 27K,2h 15m,Biography
Saturday Night,6.9, 30K,1h 49m,Biography
Queen of the Ring,6.9, 939,2h 20m,Biography
Maria,6.4, 19K,2h 4m,Biography
William Tell,5.7, 2.5K,2h 13m,Biography
One to One: John & Yoko,7.3, 296,1h 40m,Biography
Nr. 24,7.5, 15K,1h 51m,Biography
Bob Marley: One Love,6.2, 35K,1h 47m,Biography
Back to Black,6.3, 27K,2h 2m,Biography
Ordinary Angels,7.4, 16K,1h 58m,Biography
Unfrosted,5.5, 35K,1h 37m,Biography
Reagan,6.1, 11K,2h 21m,Biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2, 3.6K,2h 13m,Biography
Joy,7.1, 9.4K,1h 55m,Biography
Young Woman and the Sea,7.5, 17K,2h 9m,Biography
Cabrini,7.3, 8.7K,2h 22m,Biography
Amaran,8.1, 18K,2h 47m,Biography
Midas Man,6.4, 1.6K,1h 52m,Biography
The Fire Inside,6.7, 2.5K,1h 49m,Biography
Piece by Piece,6.9, 5.4K,1h 33m,Biography
Scoop,6.5, 20K,1h 42m,Biography
Rob Peace,6.5, 2K,2h,Biography
Faith of Angels,5.7, 221,1h 38m,Biography
Harbin,6.2, 644,1h 48m,Biography
Goebbels and the Führer,6.7, 2.2K,2h 15m,Biography
The Remarkable Life of Ibelin,8.2, 12K,1h 43m,Biography
Monsieur Aznavour,7.3, 2.4K,2h 13m,Biography
Winner,6.5, 2.5K,1h 43m,Biography
Being Maria,6.1, 603,1h 40m,Biography
Audrey's Children,7.0, 372,1h 50m,Biography
Inexplicável,7.3, 115,1h 56m,Biography
Super/Man: The Christopher Reeve Story,8.0, 9.1K,1h 44m,Biography
Maharaj,6.5, 15K,2h 11m,Biography
Oxana,6.5, 40,1h 43m,Biography
Stelios,7.3, 1.4K,2h 12m,Biography
Fanon,7.0, 91,2h 12m,Biography
Niki,6.0, 366,1h 38m,Biography
Limonov: The Ballad of Eddie,6.0, 795,2h 18m,Biography
Race for Glory: Audi vs. Lancia,5.8, 4.7K,1h 49m,Biography
"From Hilde, with Love",7.0, 922,2h 5m,Biography
Saint-Exupéry,5.5, 318,1h 38m,Biography
El 47,7.2, 3.4K,1h 50m,Biography
Chhava,8.4, 2.2K,51m,Biography
Riefenstahl,7.2, 504,1h 55m,Biography
Boléro,6.6, 782,2h,Biography
Srikanth,7.4, 14K,2h 14m,Biography
Avicii - I'm Tim,7.7, 7K,1h 35m,Biography
Freedom,5.9, 1.4K,1h 50m,Biography
