Name,Rating,Votes,Duration,Genre
Anora,7.5, 183K,2h 19m,Comedy
A Real Pain,7.1, 90K,1h 30m,Comedy
Moana 2,6.6, 102K,1h 40m,Comedy
Sonic the Hedgehog 3,6.9, 59K,1h 50m,Comedy
Y2K,4.8, 14K,1h 31m,Comedy
Deadpool & Wolverine,7.6, 491K,2h 8m,Comedy
Paddington in Peru,6.7, 21K,1h 46m,Comedy
The Ministry of Ungentlemanly Warfare,6.8, 135K,2h 2m,Comedy
Freaky Tales,7.2, 1.2K,1h 47m,Comedy
How to Make Millions Before Grandma Dies,8.0, 15K,2h 5m,Comedy
Borderlands,4.7, 48K,1h 41m,Comedy
Fight or Flight,6.4, 6.9K,1h 37m,Comedy
The Fall Guy,6.8, 220K,2h 6m,Comedy
Beetlejuice Beetlejuice,6.6, 147K,1h 45m,Comedy
Sacramento,5.9, 974,1h 29m,Comedy
Despicable Me 4,6.2, 65K,1h 34m,Comedy
Challengers,7.0, 155K,2h 11m,Comedy
Greedy People,6.2, 11K,1h 52m,Comedy
Saturday Night,6.9, 30K,1h 49m,Comedy
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 4.1K,1h 31m,Comedy
Emilia Pérez,5.4, 88K,2h 12m,Comedy
Inside Out 2,7.5, 216K,1h 36m,Comedy
Kinds of Kindness,6.5, 59K,2h 44m,Comedy
Bad Boys: Ride or Die,6.5, 100K,1h 55m,Comedy
A Nice Indian Boy,8.0, 543,1h 36m,Comedy
My Old Ass,6.9, 39K,1h 29m,Comedy
The Idea of You,6.3, 73K,1h 55m,Comedy
IF,6.4, 58K,1h 44m,Comedy
Red One,6.3, 140K,2h 3m,Comedy
Friendship,7.5, 290,1h 40m,Comedy
Fly Me to the Moon,6.6, 50K,2h 12m,Comedy
It's What's Inside,6.6, 42K,1h 43m,Comedy
Argylle,5.6, 92K,2h 19m,Comedy
Riff Raff,5.7, 3K,1h 43m,Comedy
The Union,5.4, 53K,1h 47m,Comedy
Incoming,5.8, 14K,1h 31m,Comedy
A Different Man,6.9, 29K,1h 52m,Comedy
Ghostbusters: Frozen Empire,6.1, 93K,1h 55m,Comedy
Nightbitch,5.5, 20K,1h 39m,Comedy
Eephus,7.0, 652,1h 39m,Comedy
Distant,5.7, 3.2K,1h 27m,Comedy
Kung Fu Panda 4,6.3, 68K,1h 34m,Comedy
Miller's Girl,5.2, 23K,1h 33m,Comedy
Superboys of Malegaon,7.8, 2.1K,2h 7m,Comedy
A Family Affair,5.4, 37K,1h 51m,Comedy
Kneecap,7.6, 18K,1h 45m,Comedy
Mean Girls,5.5, 37K,1h 52m,Comedy
The Uninvited,5.9, 175,1h 37m,Comedy
The Killer's Game,5.8, 17K,1h 44m,Comedy
The Instigators,6.2, 38K,1h 41m,Comedy
Snack Shack,7.0, 12K,1h 52m,Comedy
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,Comedy
The Balconettes,6.1, 907,1h 44m,Comedy
Lift,5.5, 49K,1h 47m,Comedy
Ricky Stanicky,6.2, 56K,1h 53m,Comedy
Holy Cow,7.1, 1.7K,1h 32m,Comedy
The Garfield Movie,5.7, 24K,1h 41m,Comedy
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,6.9, 252,1h 42m,Comedy
Jafaican,6.4, 6,1h 41m,Comedy
Old Guy,5.2, 2.4K,1h 34m,Comedy
Drive-Away Dolls,5.4, 23K,1h 24m,Comedy
Bob Trevino Likes It,8.0, 802,1h 41m,Comedy
F*** Marry Kill,5.3, 2.4K,1h 37m,Comedy
Harold and the Purple Crayon,5.7, 8.3K,1h 30m,Comedy
Thelma,7.0, 22K,1h 38m,Comedy
My Dead Friend Zoe,6.6, 2.2K,1h 43m,Comedy
Desert Fiends,8.1, 555,1h 46m,Comedy
Get Away,5.3, 6.8K,1h 26m,Comedy
Unfrosted,5.5, 35K,1h 37m,Comedy
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,Comedy
Mother of the Bride,4.8, 17K,1h 28m,Comedy
Trouble,6.2, 6.8K,1h 38m,Comedy
Spellbound,5.5, 7.4K,1h 49m,Comedy
Night of the Zoopocalypse,6.0, 646,1h 31m,Comedy
The Marching Band,7.4, 2.9K,1h 43m,Comedy
Hard Truths,7.3, 5.4K,1h 37m,Comedy
Jackpot!,5.8, 30K,1h 46m,Comedy
Upgraded,6.1, 29K,1h 44m,Comedy
Rumours,5.0, 4.6K,1h 44m,Comedy
Spermageddon,5.8, 807,1h 20m,Comedy
Brothers,5.4, 13K,1h 29m,Comedy
Find Me Falling,6.3, 13K,1h 33m,Comedy
I Don't Understand You,6.9, 82,1h 36m,Comedy
Sister Midnight,6.6, 382,1h 47m,Comedy
Lisa Frankenstein,6.1, 28K,1h 41m,Comedy
When Fall Is Coming,6.8, 1.7K,1h 44m,Comedy
Your Monster,6.4, 5.8K,1h 43m,Comedy
Goodrich,6.3, 5.3K,1h 50m,Comedy
Stree 2: Sarkate Ka Aatank,6.9, 42K,2h 27m,Comedy
The Wonderful Story of Henry Sugar and Three More,7.1, 6.7K,1h 28m,Comedy
Universal Language,7.0, 1.4K,1h 29m,Comedy
Dìdi,7.3, 13K,1h 33m,Comedy
Ghostlight,7.6, 5.9K,1h 55m,Comedy
Misericordia,6.9, 2K,1h 44m,Comedy
Dear Santa,5.4, 19K,1h 47m,Comedy
Chosen Family,4.8, 412,1h 28m,Comedy
Sweethearts,5.6, 3.9K,1h 38m,Comedy
On Becoming a Guinea Fowl,7.1, 908,1h 39m,Comedy
Hitpig,5.1, 940,1h 26m,Comedy
Dead Talents Society,7.0, 1.9K,1h 51m,Comedy
Piece by Piece,6.9, 5.4K,1h 33m,Comedy
Skincare,5.7, 4.4K,1h 36m,Comedy
The Mouse Trap,2.4, 3.3K,1h 20m,Comedy
Modi: Three Days on the Wing of Madness,5.5, 528,1h 50m,Comedy
Thelma the Unicorn,5.7, 2.9K,1h 33m,Comedy
Family Pack,5.5, 9.1K,1h 34m,Comedy
The Best Christmas Pageant Ever,6.8, 6.1K,1h 39m,Comedy
The 4:30 Movie,6.0, 3.7K,1h 27m,Comedy
Beautiful Wedding,4.1, 4.2K,1h 40m,Comedy
Our Little Secret,5.7, 24K,1h 41m,Comedy
Buffalo Kids,6.6, 691,1h 33m,Comedy
Harry Potter and the Stone,7.8, 165,2h 32m,Comedy
Role Play,5.5, 19K,1h 40m,Comedy
Arthur's Whisky,4.5, 869,1h 34m,Comedy
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Comedy
The Astronaut Lovers,7.1, 710,1h 56m,Comedy
Bloody Axe Wound,4.9, 844,1h 23m,Comedy
The Merry Gentlemen,4.8, 10K,1h 27m,Comedy
Orion and the Dark,6.3, 17K,1h 33m,Comedy
Teri Baaton Mein Aisa Uljha Jiya,6.2, 54K,2h 21m,Comedy
My Favourite Cake,7.4, 7.3K,1h 37m,Comedy
Bookworm,6.0, 1.9K,1h 43m,Comedy
Kidnapping Inc.,6.3, 265,1h 47m,Comedy
Reunion,5.6, 3.5K,1h 30m,Comedy
Four Mothers,7.3, 196,1h 29m,Comedy
Munjya,6.3, 25K,2h 3m,Comedy
Irish Wish,5.2, 21K,1h 33m,Comedy
The Trainer,7.0, 54,1h 35m,Comedy
Winner,6.5, 2.5K,1h 43m,Comedy
Jamais sans mon psy,4.9, 346,1h 31m,Comedy
Not Another Church Movie,2.2, 1.1K,1h 30m,Comedy
The Visitor,4.5, 210,1h 41m,Comedy
Sasquatch Sunset,5.4, 5.4K,1h 28m,Comedy
Manamey,5.4, 698,2h 35m,Comedy
Sookshma Darshini,7.8, 10K,2h 22m,Comedy
The Thundermans Return,5.0, 1.8K,1h 10m,Comedy
The American Society of Magical Negroes,3.7, 12K,1h 44m,Comedy
Mittran Da Challeya Truck Ni,7.9, 926,2h 11m,Comedy
Una Pequeña Confusion,6.1, 257,1h 47m,Comedy
Babes,6.3, 6.3K,1h 44m,Comedy
Summer Camp,4.5, 1.6K,1h 35m,Comedy
Standing on the Shoulders of Kitties,6.2, 569,1h 51m,Comedy
And Mrs,5.8, 762,1h 51m,Comedy
Turn Me On,5.6, 533,1h 39m,Comedy
Diamanti,6.9, 1.2K,2h 15m,Comedy
My Spy: The Eternal City,5.7, 11K,1h 52m,Comedy
Players,5.7, 12K,1h 45m,Comedy
Sew Torn,6.6, 219,1h 40m,Comedy
Through My Window: Looking at You,5.4, 5.2K,1h 45m,Comedy
Space Cadet,5.0, 10K,1h 50m,Comedy
Let's Start a Cult,5.9, 1.4K,1h 30m,Comedy
Jönssonligan kommer tillbaka,5.9, 1.4K,1h 44m,Comedy
This Time Next Year,5.6, 2.2K,1h 56m,Comedy
The Fabulous Four,4.8, 1.5K,1h 38m,Comedy
This Is Me... Now,4.1, 7.1K,1h 5m,Comedy
The Radleys,5.0, 2.8K,1h 55m,Comedy
Zero,6.2, 67,1h 28m,Comedy
The Second Act,6.4, 3.5K,1h 20m,Comedy
"I, the Executioner",6.4, 1.7K,1h 58m,Comedy
Boot Camp,5.8, 1.1K,1h 34m,Comedy
¿Es el enemigo? La película de Gila,6.3, 226,1h 40m,Comedy
Shell,6.5, 71,1h 40m,Comedy
Don't Tell Mom the Babysitter's Dead,3.8, 1.2K,1h 39m,Comedy
Aavesham,7.8, 28K,2h 35m,Comedy
Timestalker,5.5, 3K,1h 29m,Comedy
London Calling,7.5, 22,1h 49m,Comedy
Khel Khel Mein,6.5, 27K,2h 15m,Comedy
That Christmas,6.8, 17K,1h 31m,Comedy
Spread,5.7, 651,1h 52m,Comedy
Hot Frosty,5.3, 15K,1h 32m,Comedy
Sketch,8.3, 50,1h 32m,Comedy
The Problem with People,5.8, 423,1h 42m,Comedy
Sweet Dreams,5.4, 1.4K,1h 35m,Comedy
Ultraman: Rising,6.9, 6.4K,1h 57m,Comedy
Treasure,6.3, 2.1K,1h 51m,Comedy
Love in the Big City,7.4, 1.4K,1h 58m,Comedy
Gelin Takimi,3.4, 2.6K,1h 49m,Comedy
Blame the Game,5.4, 5.1K,1h 32m,Comedy
Officer Black Belt,6.8, 8.3K,1h 48m,Comedy
Bhool Bhulaiyaa 3,4.6, 77K,2h 38m,Comedy
Street Trash,4.5, 850,1h 25m,Comedy
Between the Temples,6.3, 2.9K,1h 51m,Comedy
Swamp Dogg Gets His Pool Painted,8.5, 55,1h 35m,Comedy
Sex-Positive,4.0, 743,1h 25m,Comedy
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Comedy
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Comedy
Døde menn går på ski,5.2, 295,1h 29m,Comedy
The Other Way Around,6.4, 1.5K,1h 54m,Comedy
Marmalade,6.3, 3.6K,1h 39m,Comedy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Comedy
Wallbanger,5.7, 669,1h 58m,Comedy
You Are the Apple of My Eye,7.5, 3.4K,1h 41m,Comedy
Drugstore June,5.4, 1.7K,1h 31m,Comedy
Am I Racist?,6.7, 17K,1h 40m,Comedy
A Little Something Extra,7.0, 4.9K,1h 39m,Comedy
The Empire,5.2, 1.2K,1h 50m,Comedy
Seize Them!,5.1, 1.2K,1h 31m,Comedy
Vulgar,5.5, 137,1h 43m,Comedy
Madgaon Express,7.0, 41K,2h 23m,Comedy
