Name,Rating,Votes,Duration,Genre
The Order,6.8, 42K,1h 56m,Crime
The Beekeeper,6.3, 156K,1h 45m,Crime
Trap,5.8, 137K,1h 45m,Crime
Longlegs,6.6, 185K,1h 41m,Crime
Juror #2,7.0, 97K,1h 54m,Crime
Freaky Tales,7.2, 1.2K,1h 47m,Crime
Carry-On,6.5, 165K,1h 59m,Crime
The Crow,4.7, 35K,1h 51m,Crime
Despicable Me 4,6.2, 65K,1h 34m,Crime
Wolfs,6.5, 83K,1h 48m,Crime
Greedy People,6.2, 11K,1h 52m,Crime
MaXXXine,6.2, 70K,1h 43m,Crime
Rebel Ridge,6.8, 88K,2h 11m,Crime
Dead Mail,6.0, 781,1h 46m,Crime
Pushpa: The Rule - Part 2,6.1, 56K,3h 21m,Crime
Emilia Pérez,5.4, 88K,2h 12m,Crime
The Girl with the Needle,7.5, 13K,2h 3m,Crime
Lucky Baskhar,8.0, 31K,2h 28m,Crime
Absolution,5.2, 8.1K,1h 52m,Crime
Bad Boys: Ride or Die,6.5, 100K,1h 55m,Crime
Love Lies Bleeding,6.6, 57K,1h 44m,Crime
Riff Raff,5.7, 3K,1h 43m,Crime
Lake George,6.4, 1.2K,1h 58m,Crime
Monkey Man,6.8, 91K,2h 1m,Crime
The Instigators,6.2, 38K,1h 41m,Crime
The Seed of the Sacred Fig,7.6, 13K,2h 47m,Crime
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,Crime
Lift,5.5, 49K,1h 47m,Crime
Maharaja,8.4, 67K,2h 21m,Crime
Sleeping Dogs,6.2, 22K,1h 50m,Crime
Santosh,7.1, 2K,2h 8m,Crime
Jafaican,6.4, 6,1h 41m,Crime
Toofan,7.4, 8.1K,2h 25m,Crime
Marco,6.8, 21K,2h 25m,Crime
The Thicket,5.8, 3.1K,1h 48m,Crime
Trigger Warning,4.6, 19K,1h 46m,Crime
Armor,3.6, 4K,1h 29m,Crime
Long Gone Heroes,5.2, 1.1K,1h 41m,Crime
Trouble,6.2, 6.8K,1h 38m,Crime
Beating Hearts,7.0, 4.7K,2h 46m,Crime
Killer Heat,5.6, 13K,1h 35m,Crime
Twilight of the Warriors: Walled In,7.0, 9.5K,2h 6m,Crime
Brothers,5.4, 13K,1h 29m,Crime
The Shadow Strays,6.5, 9.2K,2h 24m,Crime
Duchess,4.6, 1.4K,1h 54m,Crime
The Silent Hour,6.1, 7.4K,1h 39m,Crime
Colors of Evil: Red,6.4, 8.5K,1h 51m,Crime
Blackwater Lane,4.6, 1.9K,1h 48m,Crime
Force of Nature: The Dry 2,5.8, 7.1K,2h,Crime
Misericordia,6.9, 2K,1h 44m,Crime
Do Patti,6.4, 69K,2h 6m,Crime
Hitpig,5.1, 940,1h 26m,Crime
Dead Sea,5.2, 5.3K,1h 28m,Crime
Harbin,6.2, 644,1h 48m,Crime
Boneyard,4.1, 5K,1h 36m,Crime
Damaged,4.7, 7.3K,1h 37m,Crime
My Fault,4.2, 7K,2h,Crime
Bangkok Dog,4.8, 198,1h 25m,Crime
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Crime
The Unholy Trinity,7.9, 53,1h 33m,Crime
The Calendar Killer,5.4, 4.2K,1h 37m,Crime
5lbs of Pressure,5.2, 1.6K,1h 51m,Crime
Detained,4.9, 1.5K,1h 37m,Crime
The Trainer,7.0, 54,1h 35m,Crime
Sector 36,7.1, 25K,2h 3m,Crime
Justice,6.3, 3.9K,1h 53m,Crime
Baby John,5.2, 17K,2h 39m,Crime
The Courier,6.0, 4.4K,1h 41m,Crime
Viduthalai Part 2,7.9, 16K,2h 50m,Crime
The Thundermans Return,5.0, 1.8K,1h 10m,Crime
Revolver,5.4, 865,1h 54m,Crime
Singham Again,4.7, 75K,2h 24m,Crime
Thalavan,7.2, 4.7K,2h 11m,Crime
The Roundup: Punishment,6.6, 5.3K,1h 49m,Crime
Sikandar Ka Muqaddar,6.0, 24K,2h 22m,Crime
Darkness of Man,4.8, 3.2K,1h 49m,Crime
Jönssonligan kommer tillbaka,5.9, 1.4K,1h 44m,Crime
The Quiet Ones,6.3, 690,1h 50m,Crime
"I, the Executioner",6.4, 1.7K,1h 58m,Crime
Jigra,6.0, 24K,2h 33m,Crime
Badland Hunters,5.9, 12K,1h 47m,Crime
Depravity,4.3, 996,1h 57m,Crime
Reputation,9.3, 9,1h 23m,Crime
Inside,7.0, 238,1h 44m,Crime
Code 8: Part II,5.7, 16K,1h 40m,Crime
Golam,7.2, 5.6K,2h,Crime
The Clean Up Crew,4.1, 1.2K,1h 35m,Crime
Strictly Confidential,2.8, 854,1h 34m,Crime
Officer Black Belt,6.8, 8.3K,1h 48m,Crime
Maharaj,6.5, 15K,2h 11m,Crime
The Kingdom,7.0, 767,1h 52m,Crime
Døde menn går på ski,5.2, 295,1h 29m,Crime
Marmalade,6.3, 3.6K,1h 39m,Crime
Drugstore June,5.4, 1.7K,1h 31m,Crime
El Jockey,6.4, 1.7K,1h 36m,Crime
Pani,6.9, 3K,2h 23m,Crime
Maldoror,7.0, 621,2h 35m,Crime
Midnight Taxi,5.5, 80,1h 37m,Crime
The Soul Eater,5.9, 2.6K,1h 48m,Crime
Bogota: City of the Lost,5.4, 1.9K,1h 48m,Crime
Ride,5.9, 394,1h 54m,Crime
Case of Kondana,5.8, 602,2h 23m,Crime
Cult Killer,4.8, 2.8K,1h 45m,Crime
Guns & Moses,8.1, 44,1h 34m,Crime
King Ivory,7.3, 63,2h 10m,Crime
Ulajh,6.0, 24K,2h 30m,Crime
Barron's Cove,8.1, 32,1h 56m,Crime
Lover Stalker Killer,7.0, 13K,1h 30m,Crime
Compulsion,6.3, 13,1h 34m,Crime
What Jennifer Did,6.1, 11K,1h 27m,Crime
Bougainvillea,6.4, 3.2K,2h 18m,Crime
Savi,6.1, 35K,2h 6m,Crime
Anweshippin Kandethum,7.4, 10K,2h 22m,Crime
City Hunter,6.3, 5.6K,1h 42m,Crime
Sicilian Letters,6.1, 715,2h 2m,Crime
Laws of Man,5.2, 1K,1h 38m,Crime
Dead Wrong,3.9, 258,1h 44m,Crime
