Name,Rating,Votes,Duration,Genre
2073,5.1, 2.4K,1h 25m,Documentary
No Other Land,8.3, 12K,1h 32m,Documentary
Cheech & Chong's Last Movie,7.5, 70,2h 3m,Documentary
One to One: John & Yoko,7.3, 296,1h 40m,Documentary
Secret Mall Apartment,7.5, 300,1h 31m,Documentary
Not Just a Goof,7.8, 308,1h 27m,Documentary
The Menendez Brothers,7.0, 9.2K,1h 59m,Documentary
The Remarkable Life of Ibelin,8.2, 12K,1h 43m,Documentary
Will & Harper,7.4, 12K,1h 54m,Documentary
Just a Bit Outside: The Story of the 1982 Milwaukee Brewers,8.4, 133,2h,Documentary
The Last Journey,7.9, 5.2K,1h 35m,Documentary
Soundtrack to a Coup d'Etat,7.7, 2.8K,2h 30m,Documentary
Black Box Diaries,7.5, 3.4K,1h 42m,Documentary
Super/Man: The Christopher Reeve Story,8.0, 9.1K,1h 44m,Documentary
Brats,6.5, 6.9K,1h 32m,Documentary
Afternoons of Solitude,7.3, 490,2h 5m,Documentary
Swamp Dogg Gets His Pool Painted,8.5, 55,1h 35m,Documentary
Sugarcane,7.0, 3.3K,1h 47m,Documentary
A New Kind of Wilderness,7.6, 1.2K,1h 24m,Documentary
Grand Theft Hamlet,6.9, 1.9K,1h 29m,Documentary
Am I Racist?,6.7, 17K,1h 40m,Documentary
Behind the Lines,9.2, 14,1h 47m,Documentary
Buy Now! The Shopping Conspiracy,6.7, 6.4K,1h 24m,Documentary
Yacht Rock: A Dockumentary,7.6, 1.8K,1h 35m,Documentary
The Lost Children,7.0, 2.7K,1h 36m,Documentary
Lover Stalker Killer,7.0, 13K,1h 30m,Documentary
What Jennifer Did,6.1, 11K,1h 27m,Documentary
Sweet Bobby: My Catfish Nightmare,6.2, 5.6K,1h 22m,Documentary
The Program,7.2, 763,1h 42m,Documentary
Aliens Expanded,8.1, 575,4h 42m,Documentary
The Thinking Game,7.6, 170,1h 24m,Documentary
Dahomey,6.8, 2.6K,1h 8m,Documentary
Chhava,8.4, 2.2K,51m,Documentary
Riefenstahl,7.2, 504,1h 55m,Documentary
Checkpoint Zoo,8.3, 57,1h 43m,Documentary
Every Little Thing,7.0, 255,1h 33m,Documentary
Blink,7.2, 669,1h 23m,Documentary
Avicii - I'm Tim,7.7, 7K,1h 35m,Documentary
Jailbreak: Love on the Run,6.4, 3.2K,1h 28m,Documentary
Bambi: A Tale of Life in the Woods,5.7, 173,1h 18m,Documentary
Endurance,7.5, 1.6K,1h 43m,Documentary
"My Wife, My Abuser: The Secret Footage",7.1, 818,55m,Documentary
Billy & Molly: An Otter Love Story,8.0, 1.9K,1h 17m,Documentary
Beatles '64,7.2, 2.5K,1h 46m,Documentary
The Greatest Night in Pop,7.9, 15K,1h 36m,Documentary
Christspiracy,8.7, 585,1h 51m,Documentary
How to Rob a Bank,6.6, 4.2K,1h 28m,Documentary
Gaucho Gaucho,7.1, 200,1h 25m,Documentary
The Blue Angels,7.3, 2.8K,1h 33m,Documentary
Martha,7.2, 4K,1h 55m,Documentary
Blue Road: The Edna O'Brien Story,8.1, 59,1h 39m,Documentary
The Bloody Hundredth,7.5, 2.6K,1h 2m,Documentary
We Will Dance Again,7.6, 11K,1h 30m,Documentary
The Kindness Within: A Journey to Freedom,6.9, 12,1h 30m,Documentary
Pavements,7.1, 166,2h 8m,Documentary
Music by John Williams,8.2, 4.8K,1h 45m,Documentary
Liza: A Truly Terrific Absolutely True Story,7.8, 234,1h 44m,Documentary
Tom Petty: Heartbreakers Beach Party,7.4, 239,1h 24m,Documentary
"Hammer: Heroes, Legends and Monsters",6.8, 127,1h 30m,Documentary
Skywalkers: A Love Story,7.1, 3.5K,1h 40m,Documentary
Daughters,7.6, 1.6K,1h 48m,Documentary
¡Casa Bonita Mi Amor!,7.5, 1.4K,1h 28m,Documentary
Ernest Cole: Lost and Found,7.3, 310,1h 45m,Documentary
Bogart: Life Comes in Flashes,6.8, 423,1h 39m,Documentary
Frida,7.5, 1.5K,1h 27m,Documentary
Bad Faith,7.3, 1.4K,1h 29m,Documentary
Biggest Heist Ever,6.1, 1.4K,1h 25m,Documentary
The Commandant's Shadow,7.3, 1.1K,1h 43m,Documentary
Jim Henson: Idea Man,7.7, 3.9K,1h 51m,Documentary
El Apocalipsis de San Juan,6.8, 199,1h 50m,Documentary
The Roast of Tom Brady,7.2, 5.8K,2h 59m,Documentary
Porcelain War,7.1, 1.2K,1h 27m,Documentary
The Bibi Files,7.5, 1.1K,1h 55m,Documentary
Look Into My Eyes,5.4, 544,1h 45m,Documentary
Russians at War,2.0, 1.1K,2h 9m,Documentary
Chaplin | Spirit of the Tramp,7.3, 41,1h 30m,Documentary
Witches,7.4, 1.2K,1h 30m,Documentary
An American Bombing: The Road to April 19th,6.8, 909,1h 47m,Documentary
The Flats,6.5, 69,1h 54m,Documentary
Getting Lost,7.1, 671,2h,Documentary
Ellis Park,8.2, 44,1h 44m,Documentary
Einstein and the Bomb,6.2, 4K,1h 16m,Documentary
The Great Warning,5.8, 125,1h 30m,Documentary
Mogwai: If the Stars Had a Sound,7.7, 82,1h 32m,Documentary
Janis Ian: Breaking Silence,8.1, 58,1h 54m,Documentary
Luther: Never Too Much,8.1, 844,1h 41m,Documentary
Bitconned,6.5, 4.1K,1h 33m,Documentary
Apollo 13: Survival,7.3, 2.4K,1h 38m,Documentary
Inside the Mind of a Dog,7.2, 2.2K,1h 15m,Documentary
Ol' Dirty Bastard: A Tale of Two Dirtys,6.7, 203,1h 26m,Documentary
Emma and Eddie: A Working Couple,4.7, 357,1h 33m,Documentary
Elton John: Never Too Late,6.5, 1.9K,1h 42m,Documentary
Fly,7.2, 590,1h 50m,Documentary
Between the Mountain and the Sky,9.4, 15,1h 32m,Documentary
Return of the King: The Fall and Rise of Elvis Presley,7.6, 1.9K,1h 30m,Documentary
Wicked: The Real Story,6.6, 26,1h 30m,Documentary
Child Star,6.5, 1.3K,1h 38m,Documentary
Hayao Miyazaki and the Heron,7.8, 928,2h,Documentary
The Sky Above Zenica,6.9, 130,1h 30m,Documentary
Art Spiegelman: Disaster Is My Muse,7.9, 47,1h 38m,Documentary
