Name,Rating,Votes,Duration,Genre
Anora,7.5, 180K,2h 19m,Drama
A Complete Unknown,7.4, 73K,2h 21m,Drama
Mufasa: The Lion King,6.6, 62K,1h 58m,Drama
The Substance,7.3, 295K,2h 21m,Drama
The Assessment,6.8, 2.6K,1h 54m,Drama
The Brutalist,7.4, 78K,3h 36m,Drama
A Real Pain,7.1, 88K,1h 30m,Drama
Conclave,7.4, 146K,2h,Drama
Gladiator II,6.5, 227K,2h 28m,Drama
The Friend,6.7, 980,1h 59m,Drama
Babygirl,5.9, 52K,1h 54m,Drama
Speak No Evil,6.8, 97K,1h 50m,Drama
Freaky Tales,7.2, 1.1K,1h 47m,Drama
I'm Still Here,8.3, 104K,2h 17m,Drama
It Ends with Us,6.4, 85K,2h 10m,Drama
Dune: Part Two,8.5, 623K,2h 46m,Drama
Parthenope,6.6, 11K,2h 17m,Drama
"Husband, Father, Killer: The Alyssa Pladl Story",6.2, 236,1h 27m,Drama
Pushpa: The Rule - Part 2,6.1, 56K,3h 21m,Drama
The Apprentice,7.1, 54K,2h 2m,Drama
Queer,6.4, 20K,2h 17m,Drama
Juror #2,7.0, 96K,1h 54m,Drama
The Order,6.8, 41K,1h 56m,Drama
The Penguin Lessons,7.3, 1.1K,1h 51m,Drama
Presence,6.1, 21K,1h 24m,Drama
Megalopolis,4.7, 35K,2h 18m,Drama
We Live in Time,7.0, 51K,1h 48m,Drama
Ask Me What You Want,3.7, 661,1h 54m,Drama
The Count of Monte-Cristo,7.6, 34K,2h 58m,Drama
The Fall Guy,6.8, 220K,2h 6m,Drama
Horizon: An American Saga - Chapter 1,6.7, 40K,3h 1m,Drama
The Return,6.2, 8.3K,1h 56m,Drama
Here,6.3, 20K,1h 44m,Drama
The Last Showgirl,6.5, 11K,1h 28m,Drama
Emilia Pérez,5.4, 88K,2h 12m,Drama
Saturday Night,6.9, 30K,1h 49m,Drama
Challengers,7.0, 154K,2h 11m,Drama
A Nice Indian Boy,8.0, 485,1h 36m,Drama
Small Things Like These,6.8, 22K,1h 38m,Drama
Bring Them Down,6.5, 2.7K,1h 46m,Drama
September 5,7.1, 23K,1h 35m,Drama
The Life of Chuck,7.6, 526,1h 50m,Drama
Inside Out 2,7.5, 216K,1h 36m,Drama
Joker: Folie à Deux,5.2, 160K,2h 18m,Drama
Road House,6.2, 167K,2h 1m,Drama
The Lord of the Rings: The War of the Rohirrim,6.3, 30K,2h 14m,Drama
Rebel Ridge,6.8, 88K,2h 11m,Drama
Love Lies Bleeding,6.6, 57K,1h 44m,Drama
Kinds of Kindness,6.5, 59K,2h 44m,Drama
William Tell,5.7, 2.4K,2h 13m,Drama
A Quiet Place: Day One,6.3, 149K,1h 39m,Drama
Queen of the Ring,6.9, 932,2h 20m,Drama
On Swift Horses,5.8, 336,1h 57m,Drama
Lucky Baskhar,8.0, 31K,2h 28m,Drama
A Different Man,6.9, 29K,1h 52m,Drama
The Six Triple Eight,6.7, 26K,2h 7m,Drama
Distant,5.7, 3.2K,1h 27m,Drama
The Room Next Door,6.8, 19K,1h 47m,Drama
The Shrouds,6.0, 1.1K,1h 59m,Drama
Nickel Boys,7.0, 18K,2h 20m,Drama
My Old Ass,6.9, 39K,1h 29m,Drama
The Idea of You,6.3, 73K,1h 55m,Drama
Spaceman,5.7, 43K,1h 47m,Drama
IF,6.4, 58K,1h 44m,Drama
Caddo Lake,6.8, 42K,1h 43m,Drama
Maria,6.4, 19K,2h 4m,Drama
I Saw the TV Glow,5.8, 36K,1h 40m,Drama
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,Drama
The Outrun,6.9, 15K,1h 58m,Drama
Mon Potongo,6.8, 338,2h 29m,Drama
