Name,Rating,Votes,Duration,Genre
I'm Still Here,8.3, 104K,2h 17m,History
The Apprentice,7.1, 54K,2h 2m,History
Queer,6.4, 20K,2h 17m,History
The Count of Monte-Cristo,7.6, 34K,2h 58m,History
The Return,6.2, 8.3K,1h 56m,History
Saturday Night,6.9, 30K,1h 49m,History
Small Things Like These,6.8, 22K,1h 38m,History
September 5,7.1, 23K,1h 35m,History
William Tell,5.7, 2.4K,2h 13m,History
The Six Triple Eight,6.7, 26K,2h 7m,History
The Girl with the Needle,7.5, 13K,2h 3m,History
Blitz,6.2, 16K,2h,History
Reagan,6.1, 11K,2h 21m,History
Joy,7.1, 9.3K,1h 55m,History
Unfrosted,5.5, 35K,1h 37m,History
The Devil's Bath,6.6, 6.2K,2h 1m,History
Bonhoeffer: Pastor. Spy. Assassin.,6.3, 3.6K,2h 13m,History
Vermiglio,6.9, 4K,1h 59m,History
The Children's Train,7.4, 7.1K,1h 46m,History
Being Maria,6.1, 597,1h 40m,History
Goebbels and the Führer,6.7, 2.2K,2h 15m,History
Uprising,6.6, 5.5K,2h 6m,History
Grand Tour,6.6, 1.6K,2h 8m,History
Before Dawn,5.4, 1K,1h 41m,History
Harbin,6.3, 615,1h 48m,History
Waves,8.1, 1.7K,2h 11m,History
Seize Them!,5.1, 1.2K,1h 31m,History
The Flood,6.4, 263,1h 41m,History
Escape from Germany,5.3, 965,1h 37m,History
The New Year That Never Came,8.2, 5K,2h 18m,History
Bushido,6.9, 423,2h 9m,History
Maharaj,6.5, 15K,2h 11m,History
Harvest,6.1, 356,2h 11m,History
"From Hilde, with Love",7.0, 899,2h 5m,History
Limonov: The Ballad of Eddie,6.0, 785,2h 18m,History
Quisling: The Final Days,7.1, 1.1K,2h 26m,History
Bibi Rajni,8.6, 719,2h 23m,History
Maidaan,7.9, 23K,3h 1m,History
The Damned,5.4, 855,1h 29m,History
Janis Ian: Breaking Silence,8.1, 58,1h 54m,History
Louise Violet,6.5, 203,1h 48m,History
Operation Undead,4.7, 401,1h 50m,History
Golden Kamuy,6.3, 2.6K,2h 7m,History
11 Rebels,6.3, 389,2h 35m,History
Shirley,6.2, 3.3K,1h 57m,History
In Her Place,6.2, 1.5K,1h 36m,History
Kupu-Kupu Kertas,6.7, 181,1h 53m,History
No Chains No Masters,6.4, 527,1h 38m,History
Gloria!,6.6, 989,1h 46m,History
The Great Ambition,7.2, 709,2h 3m,History
America's Burning,5.6, 88,1h 23m,History
The Last Front,5.5, 610,1h 38m,History
