Name,Rating,Votes,Duration,Genre
A Complete Unknown,7.4, 73K,2h 21m,Music
Better Man,7.6, 26K,2h 15m,Music
Maria,6.4, 19K,2h 4m,Music
Kneecap,7.6, 17K,1h 45m,Music
The Marching Band,7.4, 2.8K,1h 43m,Music
Descendants: The Rise of Red,4.7, 7K,1h 31m,Music
Back to Black,6.3, 27K,2h 2m,Music
Mogwai: If the Stars Had a Sound,7.7, 79,1h 32m,Music
Bob Marley: One Love,6.2, 34K,1h 47m,Music
Standing on the Shoulders of Kitties,6.2, 553,1h 51m,Music
Midas Man,6.4, 1.6K,1h 52m,Music
Find Me Falling,6.3, 13K,1h 33m,Music
Monsieur Aznavour,7.3, 2.4K,2h 13m,Music
The Piano Lesson,6.2, 4.9K,2h 7m,Music
Soundtrack to a Coup d'Etat,7.8, 2.8K,2h 30m,Music
This Is Me... Now,4.1, 7.1K,1h 5m,Music
The Greatest Hits,6.2, 7.4K,1h 34m,Music
Swamp Dogg Gets His Pool Painted,8.5, 55,1h 35m,Music
The Colors Within,7.1, 956,1h 41m,Music
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Music
Yacht Rock: A Dockumentary,7.6, 1.8K,1h 35m,Music
Amar Singh Chamkila,7.8, 16K,2h 25m,Music
Janis Ian: Breaking Silence,8.1, 58,1h 54m,Music
Beatles '64,7.2, 2.5K,1h 46m,Music
Off the Record,8.0, 10,1h 35m,Music
Stelios,7.3, 1.4K,2h 12m,Music
Avicii - I'm Tim,7.8, 6.9K,1h 35m,Music
GHOST: Rite Here Rite Now,8.6, 2K,2h 25m,Music
Pavements,7.1, 166,2h 8m,Music
The Greatest Night in Pop,7.9, 15K,1h 36m,Music
Music by John Williams,8.2, 4.8K,1h 45m,Music
Given 3: To the Sea,8.9, 51,1h 20m,Music
The Extraordinary Miss Flower,7.1, 21,1h 13m,Music
Música,6.4, 5K,1h 31m,Music
Boléro,6.6, 775,2h,Music
Gloria!,6.6, 989,1h 46m,Music
Elton John: Never Too Late,6.5, 1.9K,1h 42m,Music
Nova & Alice,6.1, 301,1h 50m,Music
The World According to Allee Willis,7.7, 70,1h 37m,Music
ZEF: The Story of Die Antwoord,7.3, 794,1h 30m,Music
