Name,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6, 62K,1h 58m,Musical
Wicked,7.5, 156K,2h 40m,Musical
Moana 2,6.6, 100K,1h 40m,Musical
Better Man,7.6, 26K,2h 15m,Musical
Emilia Pérez,5.4, 88K,2h 12m,Musical
Joker: Folie à Deux,5.2, 160K,2h 18m,Musical
Mean Girls,5.5, 37K,1h 52m,Musical
Spellbound,5.5, 7.3K,1h 49m,Musical
Spermageddon,5.8, 796,1h 20m,Musical
Descendants: The Rise of Red,4.7, 7K,1h 31m,Musical
Thelma the Unicorn,5.7, 2.9K,1h 33m,Musical
The End,5.5, 1.8K,2h 28m,Musical
Piece by Piece,6.9, 5.4K,1h 33m,Musical
This Is Me... Now,4.1, 7.1K,1h 5m,Musical
The Merry Gentlemen,4.8, 10K,1h 27m,Musical
Dongeng Sang Kancil,6.7, 168,1h 39m,Musical
The Night Before Christmas in Wonderland,6.3, 516,1h 20m,Musical
The Deb,7.5, 71,2h 1m,Musical
O Melhor Amigo,7.2, 61,1h 36m,Musical
The Opera!,7.2, 68,1h 46m,Musical
Noah's Ark,4.3, 655,1h 36m,Musical
How Could I Live Without You?,6.9, 988,1h 45m,Musical
Shannon Matthews the Musical the Movie,7.6, 195,1h 31m,Musical
Bonnie and Clyde: The Musical,7.5, 88,2h 30m,Musical
Queens of Drama,6.3, 193,1h 54m,Musical
Girl from the North Country,7.0, 13,2h 32m,Musical
Victory,6.4, 280,2h,Musical
Chainsaws Were Singing,7.2, 361,1h 57m,Musical
Polvo serán,6.7, 289,1h 46m,Musical
Trapezium,6.3, 150,1h 42m,Musical
Gaga Chromatica Ball,8.1, 2K,1h 57m,Musical
"Kiss Me, Kate: The Musical",7.7, 28,2h 41m,Musical
Krispy Rishtey,6.5, 70,2h 13m,Musical
First Nights at Freddy's,9.3, 16,1h 38m,Musical
Varshangalkku Shesham,6.6, 4.2K,2h 46m,Musical
Benjamin Bat,8.1, 28,1h 15m,Musical
Kajolrekha,6.3, 176,2h 36m,Musical
Fox & Hare Save the Forest,5.9, 199,1h 11m,Musical
Carol,8.3, 47,1h 55m,Musical
Petta Rap,4.0, 1.7K,2h 3m,Musical
Sisters and Neighbors!,6.5, 187,1h 45m,Musical
Captain Avispa,5.8, 175,1h 36m,Musical
Call Me Agnes,6.8, 17,1h 34m,Musical
Eating Me Up,8.1, 295,1h 44m,Musical
Isang himala,7.4, 24,2h 25m,Musical
Dans la cuisine des Nguyen,7.2, 73,1h 39m,Musical
Heart Strings,5.8, 10,1h 47m,Musical
Shahid,6.5, 83,1h 24m,Musical
Hov1 4-ever,6.4, 73,1h 32m,Musical
The Good Loan Sharks,5.0, 75,2h 2m,Musical
Nature Cat's Nature Movie Special Extraordinaire,7.3, 19,53m,Musical
Under Streetlights,9.6, 14,1h 30m,Musical
Amaltash,8.1, 149,1h 53m,Musical
My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,7.9, 57,TV-PG,Musical
Solo Town,6.4, 25,1h 43m,Musical
Pattaapakal,2.7, 221,1h 44m,Musical
Zhi Ci Qing Lv,6.7, 49,1h 29m,Musical
Mezhdu nami leto,5.7, 56,1h 53m,Musical
Ya Boy Kongming! Road to Summer Sonia,7.5, 39,1h 59m,Musical
Keo=peul-ji-ok,5.3, 7,1h 34m,Musical
Peaceful Lights,9.6, 19,1h 26m,Musical
Iyus Jenius,9.0, 7,1h 22m,Musical
KorimDick,8.6, 7,21m,Musical
El musical de los 80s y los 90s. La película,6.1, 8,1h 20m,Musical
"Bryson, the Demon Slayer",4.5, 12,59m,Musical
Rangde,7.3, 7,2h 23m,Musical
The Clashing Elements: Saviors of the Multiverse,7.0, 8,1h 31m,Musical
