Name,Rating,Votes,Duration,Genre
Nosferatu,7.2, 191K,2h 12m,Mystery
Paddington in Peru,6.7, 20K,1h 46m,Mystery
Trap,5.8, 137K,1h 45m,Mystery
The Rule of Jenny Pen,6.3, 3.6K,1h 44m,Mystery
Juror #2,7.0, 96K,1h 54m,Mystery
Smile 2,6.7, 103K,2h 7m,Mystery
Blink Twice,6.5, 105K,1h 42m,Mystery
Love Lies Bleeding,6.6, 57K,1h 44m,Mystery
Cuckoo,5.7, 26K,1h 42m,Mystery
It's What's Inside,6.6, 42K,1h 43m,Mystery
Red One,6.3, 139K,2h 3m,Mystery
Caddo Lake,6.8, 42K,1h 43m,Mystery
I Saw the TV Glow,5.8, 36K,1h 40m,Mystery
Hellboy: The Crooked Man,4.5, 13K,1h 39m,Mystery
The Watchers,5.7, 57K,1h 42m,Mystery
Sleeping Dogs,6.2, 21K,1h 50m,Mystery
Slingshot,5.7, 9.4K,1h 48m,Mystery
Absolution,5.2, 7.9K,1h 52m,Mystery
The Instigators,6.2, 37K,1h 41m,Mystery
F*** Marry Kill,5.3, 2.3K,1h 37m,Mystery
Time Cut,5.0, 19K,1h 31m,Mystery
Karma,7.9, 1.4K,2h 47m,Mystery
Exhuma,6.9, 23K,2h 14m,Mystery
Die Alone,5.7, 2.9K,1h 31m,Mystery
Afraid,5.2, 14K,1h 24m,Mystery
The Deliverance,5.1, 22K,1h 52m,Mystery
Killer Heat,5.6, 13K,1h 35m,Mystery
Long Gone Heroes,5.2, 1.1K,1h 41m,Mystery
Watchmen: Chapter I,7.0, 6.5K,1h 23m,Mystery
The Damned,5.7, 3.9K,1h 29m,Mystery
Night Swim,4.7, 27K,1h 38m,Mystery
Monster Summer,5.7, 3.7K,1h 37m,Mystery
Watchmen: Chapter II,7.0, 3K,1h 30m,Mystery
Force of Nature: The Dry 2,5.8, 7K,2h,Mystery
Reunion,5.6, 3.5K,1h 30m,Mystery
Kishkindha Kaandam,8.0, 12K,2h 13m,Mystery
Do Patti,6.4, 69K,2h 6m,Mystery
A Sacrifice,5.0, 5.2K,1h 34m,Mystery
The Girl in the Pool,4.3, 1.4K,1h 29m,Mystery
Revolver,5.4, 860,1h 54m,Mystery
Desert Fiends,8.3, 522,1h 46m,Mystery
Boneyard,4.1, 5K,1h 36m,Mystery
The Best Christmas Pageant Ever,6.8, 6.1K,1h 39m,Mystery
Colors of Evil: Red,6.4, 8.4K,1h 51m,Mystery
Gazer,6.1, 131,1h 54m,Mystery
Skincare,5.7, 4.4K,1h 36m,Mystery
Cheat,4.2, 201,1h 45m,Mystery
Imaginary,4.7, 17K,1h 44m,Mystery
Døde menn går på ski,5.3, 274,1h 29m,Mystery
Orion and the Dark,6.3, 17K,1h 33m,Mystery
Turtles All the Way Down,6.6, 6.9K,1h 51m,Mystery
Damaged,4.7, 7.3K,1h 37m,Mystery
Blackwater Lane,4.6, 1.9K,1h 48m,Mystery
Sikandar Ka Muqaddar,6.0, 24K,2h 22m,Mystery
Cinderella's Revenge,3.7, 1.1K,1h 25m,Mystery
The Dead Thing,4.8, 916,1h 34m,Mystery
Thalavan,7.2, 4.6K,2h 11m,Mystery
Sookshma Darshini,7.8, 10K,2h 22m,Mystery
Depravity,4.3, 985,1h 57m,Mystery
Golam,7.2, 5.6K,2h,Mystery
Pedro Páramo,6.3, 2.9K,2h 10m,Mystery
Outbreak,4.4, 833,1h 28m,Mystery
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Mystery
Badland Hunters,5.9, 12K,1h 47m,Mystery
Strictly Confidential,2.8, 848,1h 34m,Mystery
The Sand Castle,4.7, 1.7K,1h 38m,Mystery
Mr. K,6.1, 404,1h 34m,Mystery
The Soul Eater,5.9, 2.6K,1h 48m,Mystery
The Price of Money: A Largo Winch Adventure,5.0, 1.1K,1h 40m,Mystery
Rippy,4.1, 842,1h 23m,Mystery
Bougainvillea,6.4, 3.2K,2h 18m,Mystery
Cult Killer,4.8, 2.8K,1h 45m,Mystery
Drugstore June,5.4, 1.7K,1h 31m,Mystery
Handling the Undead,5.4, 4.3K,1h 37m,Mystery
Anweshippin Kandethum,7.4, 10K,2h 22m,Mystery
Compulsion,6.3, 13,1h 34m,Mystery
Cinderella's Curse,3.3, 1.3K,1h 22m,Mystery
The Image of You,4.6, 829,1h 30m,Mystery
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Mystery
Following,6.5, 1.3K,1h 42m,Mystery
Saint Clare,7.6, 89,1h 32m,Mystery
Crescent City,3.9, 1.3K,1h 43m,Mystery
City Hunter,6.3, 5.6K,1h 42m,Mystery
Mononoke the Movie: The Phantom in the Rain,6.8, 1.2K,1h 29m,Mystery
Inheritance,5.1, 3.5K,1h 34m,Mystery
The Ruse,8.1, 110,1h 45m,Mystery
Hidden Face,6.1, 528,1h 55m,Mystery
A Place Called Silence,6.4, 1.2K,1h 59m,Mystery
Octopus with Broken Arms,6.1, 246,1h 49m,Mystery
American Star,5.5, 2.5K,1h 47m,Mystery
#AMFAD: All My Friends Are Dead,4.4, 1.2K,1h 31m,Mystery
Cellphone,3.0, 712,1h 28m,Mystery
Triumph,5.5, 266,1h 38m,Mystery
Murder Mubarak,5.8, 51K,2h 20m,Mystery
The Hangman,3.3, 1K,1h 32m,Mystery
The Lost Daughter,6.0, 289,1h 39m,Mystery
Believer,4.5, 376,1h 48m,Mystery
Arcadia,6.9, 469,1h 39m,Mystery
Bloodline Killer,3.8, 4.4K,1h 45m,Mystery
Killer Body Count,4.7, 652,1h 49m,Mystery
Salawahan,5.2, 452,1h 56m,Mystery
Drive Back,4.8, 305,1h 34m,Mystery
Held Hostage in My House,4.8, 129,1h 30m,Mystery
Heresy,6.9, 299,1h 1m,Mystery
Bone Lake,6.9, 45,1h 34m,Mystery
Faultline,5.7, 94,1h 32m,Mystery
Dancing Village: The Curse Begins,5.7, 4.2K,2h 2m,Mystery
Killer Influence,2.6, 288,1h 24m,Mystery
Horror in the High Desert 3: Firewatch,5.4, 720,1h 28m,Mystery
The Stalking,3.7, 41,1h 12m,Mystery
Merry Christmas,6.9, 30K,2h 24m,Mystery
Séance Games: Metaxu,3.3, 186,1h 26m,Mystery
Solvent,7.3, 389,1h 34m,Mystery
