Name,Rating,Votes,Duration,Genre
Anora,7.5, 180K,2h 19m,Romance
Wicked,7.5, 156K,2h 40m,Romance
Babygirl,5.9, 52K,1h 54m,Romance
It Ends with Us,6.4, 85K,2h 10m,Romance
The Crow,4.7, 34K,1h 51m,Romance
Queer,6.4, 20K,2h 17m,Romance
We Live in Time,7.0, 51K,1h 48m,Romance
Ask Me What You Want,3.7, 661,1h 54m,Romance
The Count of Monte-Cristo,7.6, 34K,2h 58m,Romance
The Fall Guy,6.8, 220K,2h 6m,Romance
Challengers,7.0, 154K,2h 11m,Romance
A Nice Indian Boy,8.0, 485,1h 36m,Romance
Love Across Time,7.1, 632,1h,Romance
Love Lies Bleeding,6.6, 57K,1h 44m,Romance
Fly Me to the Moon,6.6, 50K,2h 12m,Romance
My Old Ass,6.9, 39K,1h 29m,Romance
The Idea of You,6.3, 73K,1h 55m,Romance
Mon Potongo,6.8, 338,2h 29m,Romance
Sidelined: The QB and Me,5.9, 3.7K,1h 39m,Romance
Young Woman and the Sea,7.5, 17K,2h 9m,Romance
Culpa Tuya,5.2, 13K,1h 58m,Romance
A Family Affair,5.4, 36K,1h 51m,Romance
All We Imagine as Light,7.1, 9.6K,1h 58m,Romance
F*** Marry Kill,5.3, 2.3K,1h 37m,Romance
Upgraded,6.1, 29K,1h 44m,Romance
Vulgar,5.5, 135,1h 43m,Romance
Love Me,5.1, 2.4K,1h 31m,Romance
Die Alone,5.7, 2.9K,1h 31m,Romance
La cocina,7.2, 2.8K,2h 19m,Romance
Your Monster,6.4, 5.7K,1h 43m,Romance
Beating Hearts,7.0, 4.6K,2h 46m,Romance
Girl Haunts Boy,6.3, 3K,1h 40m,Romance
Emmanuelle,4.1, 1.6K,1h 47m,Romance
Chosen Family,4.8, 395,1h 28m,Romance
Lilies Not for Me,7.6, 157,1h 39m,Romance
Killer Heat,5.6, 13K,1h 35m,Romance
Lonely Planet,5.7, 12K,1h 34m,Romance
Lisa Frankenstein,6.1, 28K,1h 41m,Romance
Mother of the Bride,4.8, 17K,1h 28m,Romance
Loveable,7.9, 1.8K,1h 41m,Romance
The Tearsmith,5.2, 12K,1h 43m,Romance
Someone Like You,5.8, 2.1K,1h 58m,Romance
Winter Spring Summer or Fall,7.1, 531,1h 37m,Romance
Lick,6.3, 796,1h 15m,Romance
The Best Christmas Pageant Ever,6.8, 6.1K,1h 39m,Romance
Turn Me On,5.6, 526,1h 39m,Romance
Touch,7.4, 5.4K,2h 1m,Romance
Grafted,5.6, 2.2K,1h 36m,Romance
Girls Will Be Girls,7.1, 2.5K,1h 58m,Romance
Find Me Falling,6.3, 13K,1h 33m,Romance
Our Little Secret,5.7, 24K,1h 41m,Romance
My Favourite Cake,7.4, 7.2K,1h 37m,Romance
Teri Baaton Mein Aisa Uljha Jiya,6.2, 54K,2h 21m,Romance
Turtles All the Way Down,6.6, 6.9K,1h 51m,Romance
Bonjour Tristesse,6.0, 91,1h 50m,Romance
Darkest Miriam,6.8, 68,1h 27m,Romance
Beautiful Wedding,4.1, 4.2K,1h 40m,Romance
Grand Tour,6.6, 1.6K,2h 8m,Romance
Irish Wish,5.2, 21K,1h 33m,Romance
Gelin Takimi,3.3, 2.6K,1h 49m,Romance
Sex,6.6, 1.1K,1h 58m,Romance
The Astronaut Lovers,7.1, 689,1h 56m,Romance
Role Play,5.5, 19K,1h 40m,Romance
This Is Me... Now,4.1, 7.1K,1h 5m,Romance
Cinderella's Revenge,3.7, 1.1K,1h 25m,Romance
The Greatest Hits,6.2, 7.4K,1h 34m,Romance
Players,5.7, 12K,1h 45m,Romance
Jane Austen Wrecked My Life,6.4, 184,1h 34m,Romance
The Dead Thing,4.8, 916,1h 34m,Romance
Boot Camp,5.8, 1.1K,1h 34m,Romance
Samana Sunrise,5.0, 186,1h 40m,Romance
Futra Days,4.1, 143,1h 39m,Romance
The Merry Gentlemen,4.8, 10K,1h 27m,Romance
High Tide,6.6, 562,1h 41m,Romance
Love in the Big City,7.4, 1.4K,1h 58m,Romance
Through My Window: Looking at You,5.4, 5.2K,1h 45m,Romance
5lbs of Pressure,5.3, 1.6K,1h 51m,Romance
Pedro Páramo,6.3, 2.9K,2h 10m,Romance
Hot Frosty,5.3, 15K,1h 32m,Romance
A True Gentleman,4.5, 2.1K,1h 50m,Romance
Swap,2.9, 345,1h 26m,Romance
Marmalade,6.3, 3.6K,1h 39m,Romance
This Time Next Year,5.6, 2.2K,1h 56m,Romance
How to Date Billy Walsh,5.2, 3.9K,1h 38m,Romance
Wallbanger,5.6, 664,1h 58m,Romance
Uranus 2324,6.4, 4.8K,2h 10m,Romance
Romance on the Ranch,6.8, 318,1h 28m,Romance
Meet Me Next Christmas,5.7, 8.5K,1h 45m,Romance
Premalu,7.8, 19K,2h 36m,Romance
Art of Love,4.6, 2.4K,1h 39m,Romance
The Family Star,5.4, 5.5K,2h 39m,Romance
We're All Gonna Die,8.2, 92,1h 50m,Romance
Cinderella's Curse,3.3, 1.3K,1h 22m,Romance
Ashes,4.3, 2.6K,1h 40m,Romance
Three Friends,6.6, 706,1h 57m,Romance
Plan B,5.9, 1.1K,1h 30m,Romance
Omenavarkaat,7.2, 125,1h 24m,Romance
Private Tutor,4.9, 192,1h 5m,Romance
Why Do You?,5.3, 427,1h 43m,Romance
Guilty Pleasure,5.8, 119,1h 59m,Romance
Timestalker,5.5, 2.9K,1h 29m,Romance
Take My Hand,6.3, 303,1h 42m,Romance
"Love, Divided",6.0, 4.6K,1h 38m,Romance
Amar Singh Chamkila,7.8, 16K,2h 25m,Romance
City Hunter,6.3, 5.6K,1h 42m,Romance
Freedom,5.9, 1.4K,1h 50m,Romance
You Are the Apple of My Eye,7.5, 3.4K,1h 41m,Romance
Love,7.3, 330,1h 59m,Romance
Her Story,7.6, 1.8K,2h 3m,Romance
Eks,4.5, 192,2h 1m,Romance
Young Werther,5.6, 223,1h 41m,Romance
Gone Running,7.1, 4.1K,1h 45m,Romance
Pure Love,7.2, 168,1h 49m,Romance
Kupu-Kupu Kertas,6.7, 181,1h 53m,Romance
Drained,4.6, 312,1h 47m,Romance
Given 3: To the Sea,8.9, 51,1h 20m,Romance
Murder Mubarak,5.8, 51K,2h 20m,Romance
The Air He Breathes,6.5, 374,1h 46m,Romance
Música,6.4, 5K,1h 31m,Romance
Savi,6.1, 35K,2h 6m,Romance
"Till Then, Hanna!",6.3, 295,1h 50m,Romance
Five Blind Dates,5.1, 2K,1h 23m,Romance
Wanted: Girlfriend,4.3, 218,49m,Romance
Another End,6.4, 730,2h 9m,Romance
Qalb,6.6, 2.3K,2h 27m,Romance
Lesbian Space Princess,7.2, 131,1h 27m,Romance
The Glassworker,7.3, 1.7K,1h 38m,Romance
Umjolo: The Gone Girl,4.4, 272,1h 32m,Romance
Still Fabulous,4.9, 859,1h 32m,Romance
Dandelion,5.3, 405,1h 53m,Romance
Life is Filled with So Much of You,7.7, 50,1h 39m,Romance
My Name Is Loh Kiwan,6.7, 4.3K,2h 11m,Romance
Layla,6.1, 392,1h 40m,Romance
Love Switch,6.0, 242,1h 29m,Romance
Two to One,6.1, 725,1h 56m,Romance
From Contract Lover to the Billionaire's Bride,7.0, 515,1h 24m,Romance
Ipar Adalah Maut,7.0, 1.2K,2h 11m,Romance
Ajosepo,8.7, 54,2h 14m,Romance
Blue Sun Palace,6.5, 134,1h 56m,Romance
O Melhor Amigo,7.2, 61,1h 36m,Romance
The Groomsmen: Second Chances,6.0, 437,1h 24m,Romance
Previously Saved Version,5.4, 420,1h 57m,Romance
Haunted Heart,4.8, 471,2h 8m,Romance
Perfect Endings,5.5, 193,1h 40m,Romance
Duino,7.6, 119,1h 48m,Romance
Black Tea,5.1, 544,1h 50m,Romance
Mr. Manhattan,6.7, 445,1h 50m,Romance
Daniela Forever,6.2, 216,1h 53m,Romance
The Groomsmen: First Look,6.1, 387,1h 22m,Romance
Wild Wild Punjab,6.2, 15K,1h 49m,Romance
Good Bad Things,5.7, 197,1h 36m,Romance
Undergrads,5.5, 51,1h 6m,Romance
Ask Mevsimi,5.0, 343,2h 6m,Romance
In the Summer Rain,6.7, 7,2h 9m,Romance
"Hello, Love, Again",6.7, 857,2h 2m,Romance
The Silence of Marcos Tremmer,5.9, 158,1h 52m,Romance
Bau: Artist at War,7.0, 58,2h 10m,Romance
Mascarpone: The Rainbow Cake,6.1, 502,1h 45m,Romance
Books & Drinks,6.2, 98,1h 34m,Romance
8 Views of Lake Biwa,5.2, 122,2h 6m,Romance
The Southern Chronicles,8.8, 2.5K,2h,Romance
Hear Me: Our Summer,7.5, 680,1h 49m,Romance
Tillu Square,6.6, 3.4K,2h 17m,Romance
Intoxicated by Love,8.5, 13K,1h 58m,Romance
Christmas at Plumhill Manor,6.1, 499,1h 27m,Romance
Stag,3.6, 113,1h 27m,Romance
El Hawa Sultan,6.6, 707,2h 16m,Romance
Believe in Christmas,6.1, 826,1h 30m,Romance
Goyo,6.6, 2.2K,1h 46m,Romance
The Holiday Junkie,6.3, 447,1h 28m,Romance
Drawing Closer,7.6, 2.5K,1h 58m,Romance
She Taught Love,5.2, 415,1h 42m,Romance
Breakup Season,5.8, 307,1h 42m,Romance
Queens of Drama,6.3, 193,1h 54m,Romance
Beauty and the Billionaire: Bali,5.8, 201,1h 31m,Romance
Sicilian Holiday,5.0, 18,1h 42m,Romance
Bad Newz,4.7, 26K,2h 22m,Romance
Love Lies,7.2, 266,1h 54m,Romance
18×2 Beyond Youthful Days,7.3, 1.9K,2h 3m,Romance
Dilan 1983,6.6, 223,1h 56m,Romance
First Taste,6.0, 287,1h 37m,Romance
When in Rome,6.1, 741,1h 38m,Romance
Switch Up,8.6, 27,1h 45m,Romance
The Everything Pot,7.4, 33,1h 30m,Romance
0000 Kilometre,2.9, 126,1h 50m,Romance
The Holiday Exchange,5.6, 411,1h 30m,Romance
Else,6.1, 233,1h 42m,Romance
