Name,Rating,Votes,Duration,Genre
Y2K,4.8, 14K,1h 31m,Sci_fi
The Substance,7.3, 295K,2h 21m,Sci_fi
The Assessment,6.8, 2.6K,1h 54m,Sci_fi
Sonic the Hedgehog 3,6.9, 58K,1h 50m,Sci_fi
Deadpool & Wolverine,7.6, 490K,2h 8m,Sci_fi
The Wild Robot,8.2, 161K,1h 42m,Sci_fi
Dune: Part Two,8.5, 623K,2h 46m,Sci_fi
Venom: The Last Dance,6.0, 116K,1h 50m,Sci_fi
Furiosa: A Mad Max Saga,7.5, 284K,2h 28m,Sci_fi
Alien: Romulus,7.1, 243K,1h 59m,Sci_fi
Megalopolis,4.7, 35K,2h 18m,Sci_fi
Despicable Me 4,6.2, 65K,1h 34m,Sci_fi
Borderlands,4.7, 48K,1h 41m,Sci_fi
Subservience,5.4, 27K,1h 46m,Sci_fi
Transformers One,7.6, 50K,1h 44m,Sci_fi
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 3.9K,1h 31m,Sci_fi
The Life of Chuck,7.6, 526,1h 50m,Sci_fi
Elevation,5.6, 22K,1h 31m,Sci_fi
A Quiet Place: Day One,6.3, 149K,1h 39m,Sci_fi
Madame Web,4.0, 101K,1h 56m,Sci_fi
It's What's Inside,6.6, 42K,1h 43m,Sci_fi
Distant,5.7, 3.2K,1h 27m,Sci_fi
The Shrouds,6.0, 1.1K,1h 59m,Sci_fi
Ghostbusters: Frozen Empire,6.1, 93K,1h 55m,Sci_fi
Godzilla x Kong: The New Empire,6.0, 121K,1h 55m,Sci_fi
Spaceman,5.7, 43K,1h 47m,Sci_fi
Caddo Lake,6.8, 42K,1h 43m,Sci_fi
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,Sci_fi
Survive,4.6, 2.4K,1h 30m,Sci_fi
Werewolves,4.4, 6.5K,1h 33m,Sci_fi
Uglies,4.7, 33K,1h 40m,Sci_fi
Arcadian,5.5, 23K,1h 32m,Sci_fi
Slingshot,5.7, 9.4K,1h 48m,Sci_fi
Rich Flu,5.3, 5.7K,1h 56m,Sci_fi
Time Cut,5.0, 19K,1h 31m,Sci_fi
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,Sci_fi
Atlas,5.6, 56K,1h 58m,Sci_fi
Sting,5.7, 16K,1h 31m,Sci_fi
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,Sci_fi
Love Me,5.1, 2.4K,1h 31m,Sci_fi
Die Alone,5.7, 2.9K,1h 31m,Sci_fi
Kalki 2898 AD,7.0, 66K,3h,Sci_fi
Afraid,5.2, 14K,1h 24m,Sci_fi
Watchmen: Chapter I,7.0, 6.5K,1h 23m,Sci_fi
Rebel Moon - Part Two: The Scargiver,5.3, 59K,2h 2m,Sci_fi
The End,5.5, 1.8K,2h 28m,Sci_fi
Watchmen: Chapter II,7.0, 3K,1h 30m,Sci_fi
Breathe,4.2, 7.2K,1h 33m,Sci_fi
The Platform 2,4.9, 40K,1h 39m,Sci_fi
The Fix,4.6, 1.2K,1h 38m,Sci_fi
Year 10,5.4, 1.9K,1h 36m,Sci_fi
Turn Me On,5.6, 526,1h 39m,Sci_fi
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Sci_fi
V/H/S/Beyond,5.8, 9.4K,1h 54m,Sci_fi
Teri Baaton Mein Aisa Uljha Jiya,6.2, 54K,2h 21m,Sci_fi
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,5.2, 95,55m,Sci_fi
Things Will Be Different,5.2, 2.5K,1h 42m,Sci_fi
The Thundermans Return,5.0, 1.8K,1h 10m,Sci_fi
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.5K,1h 33m,Sci_fi
Omni Loop,5.6, 2.8K,1h 52m,Sci_fi
The Greatest Hits,6.2, 7.4K,1h 34m,Sci_fi
Moon Maidens 2,3.6, 37,1h 9m,Sci_fi
The Empire,5.2, 1.2K,1h 50m,Sci_fi
My Hero Academia: You're Next,7.0, 2.1K,1h 50m,Sci_fi
Futra Days,4.1, 143,1h 39m,Sci_fi
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Sci_fi
Levels,5.0, 1.5K,1h 33m,Sci_fi
Baby Invasion,4.5, 441,1h 20m,Sci_fi
Alien: Rubicon,2.4, 339,1h 26m,Sci_fi
Street Trash,4.5, 836,1h 25m,Sci_fi
Badland Hunters,5.9, 12K,1h 47m,Sci_fi
Parallel,5.3, 1.9K,1h 28m,Sci_fi
Ultraman: Rising,6.9, 6.4K,1h 57m,Sci_fi
Code 8: Part II,5.7, 16K,1h 40m,Sci_fi
Uranus 2324,6.4, 4.8K,2h 10m,Sci_fi
Ick,5.6, 203,1h 27m,Sci_fi
Last Night on Earth,4.7, 360,1h 26m,Sci_fi
Wonderland,6.2, 2.2K,1h 53m,Sci_fi
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Sci_fi
The Silent Planet,4.9, 223,1h 35m,Sci_fi
We're All Gonna Die,8.2, 92,1h 50m,Sci_fi
Sentinel,2.6, 762,1h 30m,Sci_fi
Agent Recon,2.4, 672,1h 25m,Sci_fi
Unspeakable: Beyond the Wall of Sleep,6.1, 52,1h 30m,Sci_fi
Timestalker,5.5, 2.9K,1h 29m,Sci_fi
U Are the Universe,7.7, 264,1h 30m,Sci_fi
