Name,Rating,Votes,Duration,Genre
Heretic,7.0, 135K,1h 51m,Thriller
Kraven the Hunter,5.5, 54K,2h 7m,Thriller
Conclave,7.4, 146K,2h,Thriller
Twisters,6.5, 166K,2h 2m,Thriller
Babygirl,5.9, 52K,1h 54m,Thriller
Speak No Evil,6.8, 97K,1h 50m,Thriller
Eden,6.6, 1.3K,2h,Thriller
The Crow,4.7, 34K,1h 51m,Thriller
Venom: The Last Dance,6.0, 116K,1h 50m,Thriller
Longlegs,6.6, 184K,1h 41m,Thriller
Pushpa: The Rule - Part 2,6.1, 56K,3h 21m,Thriller
Civil War,7.0, 236K,1h 49m,Thriller
Trap,5.8, 137K,1h 45m,Thriller
The Rule of Jenny Pen,6.3, 3.6K,1h 44m,Thriller
Furiosa: A Mad Max Saga,7.5, 284K,2h 28m,Thriller
Juror #2,7.0, 96K,1h 54m,Thriller
The Luckiest Man in America,6.7, 476,1h 31m,Thriller
The Order,6.8, 41K,1h 56m,Thriller
Smile 2,6.7, 103K,2h 7m,Thriller
Carry-On,6.5, 164K,1h 59m,Thriller
Alien: Romulus,7.1, 243K,1h 59m,Thriller
The Beekeeper,6.3, 156K,1h 45m,Thriller
Presence,6.1, 21K,1h 24m,Thriller
Blink Twice,6.5, 105K,1h 42m,Thriller
Borderlands,4.7, 48K,1h 41m,Thriller
Ask Me What You Want,3.7, 661,1h 54m,Thriller
Subservience,5.4, 27K,1h 46m,Thriller
The Count of Monte-Cristo,7.6, 34K,2h 58m,Thriller
Oddity,6.7, 42K,1h 38m,Thriller
Abigail,6.6, 96K,1h 49m,Thriller
Emilia Pérez,5.4, 88K,2h 12m,Thriller
2073,5.1, 2.2K,1h 25m,Thriller
Bring Them Down,6.5, 2.7K,1h 46m,Thriller
September 5,7.1, 23K,1h 35m,Thriller
Joker: Folie à Deux,5.2, 160K,2h 18m,Thriller
Wolfs,6.5, 82K,1h 48m,Thriller
Road House,6.2, 167K,2h 1m,Thriller
Rebel Ridge,6.8, 88K,2h 11m,Thriller
Elevation,5.6, 22K,1h 31m,Thriller
Love Lies Bleeding,6.6, 57K,1h 44m,Thriller
Classified,3.7, 2.5K,1h 45m,Thriller
A Quiet Place: Day One,6.3, 149K,1h 39m,Thriller
Cuckoo,5.7, 26K,1h 42m,Thriller
Madame Web,4.0, 101K,1h 56m,Thriller
Bad Boys: Ride or Die,6.5, 100K,1h 55m,Thriller
Lucky Baskhar,8.0, 31K,2h 28m,Thriller
A Different Man,6.9, 29K,1h 52m,Thriller
Argylle,5.6, 92K,2h 19m,Thriller
It's What's Inside,6.6, 42K,1h 43m,Thriller
Distant,5.7, 3.2K,1h 27m,Thriller
The Shrouds,6.0, 1.1K,1h 59m,Thriller
Immaculate,5.8, 53K,1h 29m,Thriller
Godzilla x Kong: The New Empire,6.0, 121K,1h 55m,Thriller
Caddo Lake,6.8, 42K,1h 43m,Thriller
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,Thriller
Never Let Go,5.4, 15K,1h 41m,Thriller
Hellboy: The Crooked Man,4.5, 13K,1h 39m,Thriller
Land of Bad,6.6, 51K,1h 53m,Thriller
Survive,4.6, 2.4K,1h 30m,Thriller
The Watchers,5.7, 57K,1h 42m,Thriller
The Surfer,6.5, 678,1h 40m,Thriller
Don't Move,5.8, 39K,1h 32m,Thriller
The Union,5.4, 53K,1h 47m,Thriller
Werewolves,4.4, 6.5K,1h 33m,Thriller
Monkey Man,6.8, 91K,2h 1m,Thriller
Aftermath,5.1, 3.9K,1h 37m,Thriller
The Seed of the Sacred Fig,7.6, 13K,2h 47m,Thriller
Lake George,6.4, 1.1K,1h 58m,Thriller
Sleeping Dogs,6.2, 21K,1h 50m,Thriller
The Killer's Game,5.8, 17K,1h 44m,Thriller
Magpie,6.1, 2.9K,1h 30m,Thriller
Cellar Door,5.3, 3.9K,1h 37m,Thriller
Homestead,5.3, 3.5K,1h 52m,Thriller
The Killer,5.7, 13K,2h 6m,Thriller
Arcadian,5.5, 23K,1h 32m,Thriller
Dirty Angels,4.3, 3.4K,1h 44m,Thriller
Slingshot,5.7, 9.4K,1h 48m,Thriller
Rich Flu,5.3, 5.7K,1h 56m,Thriller
Miller's Girl,5.2, 23K,1h 33m,Thriller
Santosh,7.1, 1.9K,2h 8m,Thriller
Mothers' Instinct,6.3, 20K,1h 34m,Thriller
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,Thriller
Salem's Lot,5.6, 33K,1h 54m,Thriller
Apartment 7A,5.9, 16K,1h 47m,Thriller
Sugar Baby,4.2, 292,1h 28m,Thriller
Lift,5.5, 49K,1h 47m,Thriller
Absolution,5.2, 7.9K,1h 52m,Thriller
The Instigators,6.2, 37K,1h 41m,Thriller
F*** Marry Kill,5.3, 2.3K,1h 37m,Thriller
Queen of Bones,5.0, 179,1h 30m,Thriller
The Wasp,6.1, 4.6K,1h 36m,Thriller
Maharaja,8.4, 67K,2h 21m,Thriller
Drive-Away Dolls,5.4, 23K,1h 24m,Thriller
Marco,6.8, 21K,2h 25m,Thriller
In a Violent Nature,5.6, 26K,1h 34m,Thriller
MadS,6.4, 7.5K,1h 29m,Thriller
Winnie-the-Pooh: Blood and Honey 2,4.7, 11K,1h 33m,Thriller
Time Cut,5.0, 19K,1h 31m,Thriller
Atlas,5.6, 56K,1h 58m,Thriller
Karma,7.9, 1.4K,2h 47m,Thriller
Sting,5.7, 16K,1h 31m,Thriller
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,Thriller
Canary Black,5.3, 11K,1h 41m,Thriller
Exhuma,6.9, 23K,2h 14m,Thriller
The Mouse Trap,2.4, 3.3K,1h 20m,Thriller
Die Alone,5.7, 2.9K,1h 31m,Thriller
The Prosecutor,6.7, 1.9K,1h 57m,Thriller
La cocina,7.2, 2.8K,2h 19m,Thriller
Under Paris,5.2, 36K,1h 44m,Thriller
Blood Star,6.0, 3.3K,1h 37m,Thriller
Kalki 2898 AD,7.0, 66K,3h,Thriller
Afraid,5.2, 14K,1h 24m,Thriller
The Deliverance,5.1, 22K,1h 52m,Thriller
Dead Talents Society,7.0, 1.8K,1h 51m,Thriller
Armor,3.6, 3.8K,1h 29m,Thriller
Twilight of the Warriors: Walled In,7.0, 9.4K,2h 6m,Thriller
Killer Heat,5.6, 13K,1h 35m,Thriller
