Name,Rating,Votes,Duration,Genre
The Ministry of Ungentlemanly Warfare,6.8, 134K,2h 2m,War
William Tell,5.7, 2.4K,2h 13m,War
The Six Triple Eight,6.7, 26K,2h 7m,War
My Dead Friend Zoe,6.6, 2.2K,1h 43m,War
Dirty Angels,4.3, 3.4K,1h 44m,War
Nr. 24,7.5, 15K,1h 51m,War
Blitz,6.2, 16K,2h,War
Goebbels and the Führer,6.7, 2.2K,2h 15m,War
Uprising,6.6, 5.5K,2h 6m,War
Before Dawn,5.4, 1K,1h 41m,War
Amaran,8.2, 18K,2h 47m,War
Without Blood,7.5, 105,1h 31m,War
Escape from Germany,5.3, 965,1h 37m,War
Quisling: The Final Days,7.1, 1.1K,2h 26m,War
All the Lost Ones,3.7, 242,1h 46m,War
Decoded,5.7, 433,2h 36m,War
Laws of Man,5.2, 1K,1h 38m,War
WWII: Operation Phoenix,6.3, 75,1h 46m,War
Murder Company,3.7, 1.5K,1h 26m,War
The Last Front,5.5, 610,1h 38m,War
"Love, Courage and the Battle of Bushy Run",5.0, 181,1h 53m,War
Chhava,8.4, 2.2K,51m,War
Chandu Champion,7.8, 34K,2h 22m,War
The Friendly,8.1, 15,1h 41m,War
Atatürk II: 1881-1919,8.9, 2K,2h 21m,War
Bau: Artist at War,7.0, 58,2h 10m,War
"Canadian, Sniper",3.4, 356,1h 23m,War
Conquer: Lahad Datu,6.6, 511,2h,War
Invasion,4.8, 678,1h 31m,War
Ka Whawhai Tonu,7.3, 179,1h 55m,War
The Shamrock Spitfire,5.2, 480,1h 48m,War
The Witch: Revenge,5.3, 817,1h 40m,War
Never Alone,7.2, 424,1h 25m,War
Kang Mak,6.4, 807,2h 2m,War
Battlefield,6.2, 665,1h 44m,War
The Volunteers: The Battle of Life and Death,6.2, 230,2h 24m,War
"Dao, Pho Va Piano",5.8, 204,1h 40m,War
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1, 660,2h 54m,War
Hitler,5.2, 305,2h 8m,War
White Courage,6.4, 620,1h 55m,War
Aserb: The Squadron,5.2, 306,2h,War
The Epidemic,5.7, 72,1h 35m,War
Orang Ikan,6.7, 34,1h 23m,War
The Dugout,5.4, 754,1h 54m,War
The Yin Yang Master Zero,5.7, 273,1h 52m,War
Red Poppies,4.7, 297,2h 2m,War
Klitschko: More Than a Fight,6.3, 504,1h 36m,War
Fortunes of War,3.5, 176,1h 25m,War
The Mousetrap,7.2, 22,1h 27m,War
24 Hours to D-Day,4.6, 36,1h 23m,War
War Blade,3.9, 253,1h 34m,War
Ludzie,6.9, 47,1h 57m,War
Bozji gnjev,7.2, 59,1h 51m,War
Russians at War,1.9, 1.1K,2h 9m,War
Haywire: Gunslingers,2.2, 27,1h 25m,War
Bardejov,4.8, 177,1h 25m,War
Air War,6.4, 113,1h 46m,War
The Liberation Men,6.5, 79,1h 30m,War
Dwie siostry,5.5, 22,1h 32m,War
Korni,8.2, 16,2h 17m,War
We Were Recruits,7.0, 232,1h 32m,War
Vremya vernutsya,7.2, 14,1h 40m,War
Burning Stars,6.6, 45,1h 24m,War
Village of Death: Oradour-sur-Glane 1944,7.8, 15,58m,War
Blood Vendetta,7.7, 236,1h 30m,War
"America, Invaded",7.3, 20,1h 22m,War
Pidyomna syla,8.7, 67,1h 27m,War
The Daughter,4.0, 6,1h 37m,War
October 7 - Al Jazeera Investigations,6.2, 42,1h,War
Pozyvnoy «Passazhir»,4.8, 228,1h 41m,War
Operation Star,7.6, 23,1h 42m,War
"Por ti, Portugal, eu juro!",7.6, 5,1h 38m,War
Krasnye lenty,5.5, 21,1h 2m,War
Sem chyornykh bumag,6.7, 56,1h 36m,War
Kara Kyz,4.8, 19,1h 51m,War
Eddy's oorlog,7.7, 46,1h 41m,War
Churchill's Forgotten War,7.8, 12,47m,War
Iyunskaya polyn,10, 5,1h 19m,War
Los indomables,6.5, 9,1h 46m,War
Krigsvarsleren,7.4, 7,55m,War
On Moral Grounds,8.4, 7,1h 14m,War
Dosije Kosovo - Pogrom,7.6, 5,1h 49m,War
