Name,Rating,Votes,Duration,Genre
Horizon: An American Saga - Chapter 1,6.7, 40K,3h 1m,Western
Horizon: An American Saga - Chapter 2,7.2, 1.3K,3h 10m,Western
The Thicket,5.8, 3.1K,1h 48m,Western
The Unholy Trinity,7.9, 51,1h 33m,Western
Pedro Páramo,6.3, 2.9K,2h 10m,Western
Calamity Jane,4.4, 796,1h 35m,Western
Buffalo Kids,6.6, 678,1h 33m,Western
Seven Cemeteries,4.6, 567,1h 24m,Western
Golden Kamuy,6.3, 2.6K,2h 7m,Western
Same Old West,7.9, 136,1h 38m,Western
The Ballad of Davy Crockett,4.6, 248,1h 36m,Western
Black Creek,7.3, 8,1h 56m,Western
Outlaw Posse,4.3, 525,1h 48m,Western
Eye for an Eye 2,6.6, 504,1h 30m,Western
The Guardsmen,3.6, 138,1h 13m,Western
Over the Red River,3.5, 81,1h 23m,Western
The Night They Came Home,3.5, 437,1h 45m,Western
Ghosts of Red Ridge,3.3, 157,1h 21m,Western
Taken from Rio Bravo,3.0, 315,1h 20m,Western
Paradise,6.9, 78,1h 23m,Western
Joe Crist,5.2, 88,53m,Western
Unnatural,4.9, 99,1h 44m,Western
They Call Her Death,6.7, 27,1h 32m,Western
Fyre Rises,6.5, 322,1h 50m,Western
The Ecstasy of Gold: The Treasure of Jesse James,6.0, 14,1h 30m,Western
Adiós al amigo,7.4, 8,1h 58m,Western
Lady Outlaw,7.0, 17,1h 44m,Western
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,5.0, 8,1h 14m,Western
Coyote Woman,2.2, 74,1h 50m,Western
Malaikottai Vaaliban,6.0, 4.1K,2h 36m,Western
Escanyapobres,7.3, 39,1h 42m,Western
Oro Amargo,7.7, 26,1h 23m,Western
Searching for the Elephant,5.9, 35,1h 56m,Western
El Vaquero,8.2, 11,1h 33m,Western
Death After Dusk,5.6, 89,2h 20m,Western
Oltre il confine,6.4, 7,1h 16m,Western
Zoloto Umalty,4.9, 109,1h 49m,Western
Once Upon a Time in Amityville,3.6, 50,1h 13m,Western
Hinter dem Eisernen Horizont,7.8, 14,1h 28m,Western
In Search of Bass Reeves,6.0, 58,1h 45m,Western
Jama,6.3, 16,1h 11m,Western
Bo Nan Za,9.1, 28,1h 1m,Western
Travesty,6.4, 5,1h 18m,Western
Myall Creek Day of Justice,6.4, 17,1h 18m,Western
Last Flamingo of the Red Summer Sunset,8.8, 13,1h 20m,Western
The Wolf in the Chute,9.0, 12,33m,Western
Guns Blazin,7.1, 9,1h 28m,Western
